Iteracja,c,v0x_opt,omega_opt,x_end,f_calls
1,1,0.0245261,10.5248,23.8892,310
2,2,-0.0358001,10.2642,23.1522,225
3,4,-0.0583721,10.1325,22.7734,215
4,8,-0.0696505,10.0663,22.5831,210
5,16,-0.0752878,10.0332,22.4877,210
6,32,-0.0781059,10.0166,22.4399,230
7,64,-0.0795149,10.0083,22.416,220
8,128,-0.0802194,10.0042,22.4041,195
9,256,-0.0805717,10.0021,22.3981,210
10,512,-0.0807478,10.001,22.3951,205
11,1024,-0.0808357,10.0005,22.3936,230
12,2048,-0.0808798,10.0003,22.3929,220
13,4096,-0.0809018,10.0001,22.3925,220
14,8192,-0.0809129,10.0001,22.3923,215
15,16384,-0.0809182,10,22.3922,240
16,32768,-0.0809184,10,22.3922,200
17,65536,-0.0809184,10,22.3922,225
18,131072,-0.0809183,9.99999,22.3921,235
19,262144,-0.0809183,9.99998,22.3921,235
20,524288,-0.0809183,9.99998,22.3921,240
