t,x,vx,y,vy
0,0,-0.0809184,100,0
0.01,-0.000809,-0.0808638,99.9995,-0.0980115
0.02,-0.00161692,-0.0807028,99.998,-0.196019
0.03,-0.0024227,-0.0804354,99.9956,-0.294019
0.04,-0.00322528,-0.0800616,99.9922,-0.392006
0.05,-0.00402358,-0.0795815,99.9877,-0.489978
0.06,-0.00481655,-0.078995,99.9824,-0.58793
0.07,-0.00560312,-0.0783022,99.976,-0.685858
0.08,-0.00638224,-0.0775031,99.9686,-0.783759
0.09,-0.00715283,-0.0765977,99.9603,-0.881627
0.1,-0.00791384,-0.0755862,99.951,-0.97946
0.11,-0.0086642,-0.0744684,99.9407,-1.07725
0.12,-0.00940285,-0.0732446,99.9295,-1.175
0.13,-0.0101287,-0.0719147,99.9172,-1.27271
0.14,-0.0108408,-0.0704788,99.904,-1.37036
0.15,-0.011538,-0.0689369,99.8898,-1.46795
0.16,-0.0122192,-0.0672892,99.8747,-1.56549
0.17,-0.0128834,-0.0655356,99.8585,-1.66296
0.18,-0.0135295,-0.0636763,99.8414,-1.76037
0.19,-0.0141566,-0.0617113,99.8233,-1.85771
0.2,-0.0147634,-0.0596408,99.8042,-1.95497
0.21,-0.015349,-0.0574647,99.7842,-2.05215
0.22,-0.0159124,-0.0551832,99.7632,-2.14925
0.23,-0.0164523,-0.0527964,99.7412,-2.24627
0.24,-0.0169679,-0.0503044,99.7183,-2.34319
0.25,-0.0174581,-0.0477072,99.6944,-2.44002
0.26,-0.0179217,-0.045005,99.6695,-2.53675
0.27,-0.0183578,-0.0421979,99.6436,-2.63338
0.28,-0.0187653,-0.039286,99.6168,-2.72991
0.29,-0.0191432,-0.0362694,99.589,-2.82633
0.3,-0.0194904,-0.0331482,99.5603,-2.92263
0.31,-0.0198058,-0.0299226,99.5306,-3.01882
0.32,-0.0200885,-0.0265926,99.4999,-3.11489
0.33,-0.0203373,-0.0231585,99.4683,-3.21084
0.34,-0.0205513,-0.0196202,99.4357,-3.30666
0.35,-0.0207294,-0.0159781,99.4021,-3.40234
0.36,-0.0208705,-0.0122321,99.3676,-3.4979
0.37,-0.0209737,-0.00838248,99.3322,-3.59331
0.38,-0.0210378,-0.00442936,99.2958,-3.68859
0.39,-0.0210619,-0.000372887,99.2584,-3.78372
0.4,-0.0210449,0.00378679,99.2201,-3.8787
0.41,-0.0209858,0.0080495,99.1808,-3.97353
0.42,-0.0208836,0.0124151,99.1406,-4.0682
0.43,-0.0207372,0.0168833,99.0995,-4.16271
0.44,-0.0205456,0.0214541,99.0574,-4.25707
0.45,-0.0203078,0.0261271,99.0143,-4.35125
0.46,-0.0200227,0.0309023,98.9704,-4.44527
0.47,-0.0196894,0.0357794,98.9254,-4.53912
0.48,-0.0193068,0.0407582,98.8796,-4.63279
0.49,-0.0188739,0.0458386,98.8328,-4.72628
