Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Zewnetrzna,4,1,-3.472,-2.79528,2.80804,2.84869,-0.189202,930,4.00001
Zewnetrzna,4,2,-0.930457,-2.81029,1.94683,3.49426,-0.189201,1140,4
Zewnetrzna,4,3,2.70611,3.89041,3.45162,2.02149,-0.189202,1145,4.00001
Zewnetrzna,4,4,2.66638,3.21848,2.75147,2.90347,-0.189211,880,4.00009
Zewnetrzna,4,5,3.47092,3.10651,2.84392,2.81229,-0.189155,775,3.99961
Zewnetrzna,4,6,-0.407054,0.264307,2.90863,2.7459,-0.189202,985,4.00001
Zewnetrzna,4,7,-1.14976,3.52553,2.91947,2.73436,-0.189201,955,4.00001
Zewnetrzna,4,8,-1.75665,-1.63585,2.83854,2.81773,-0.189156,805,3.99961
Zewnetrzna,4,9,-0.415764,1.41428,2.78121,2.87488,-0.189202,955,4.00001
Zewnetrzna,4,10,2.57171,3.28858,2.81138,2.84539,-0.189202,875,4.00001
Zewnetrzna,4,11,0.475769,-2.66323,2.51734,3.10852,-0.189199,1245,3.99998
Zewnetrzna,4,12,1.2628,-0.333638,2.96668,2.68306,-0.189201,1215,4
Zewnetrzna,4,13,2.68193,2.16119,2.77125,2.88449,-0.189202,890,4.00001
Zewnetrzna,4,14,-3.25264,2.45634,3.43775,2.04483,-0.189193,1295,3.99993
Zewnetrzna,4,15,-0.934781,2.76028,2.05962,3.42902,-0.189204,1120,4.00003
Zewnetrzna,4,16,-2.72615,-0.406785,3.0444,2.59456,-0.189202,1100,4.00001
Zewnetrzna,4,17,3.965,0.343395,2.92344,2.72977,-0.189174,970,3.99977
Zewnetrzna,4,18,0.782928,2.67111,1.56751,3.68007,-0.189201,1455,4
Zewnetrzna,4,19,0.233805,-0.550693,2.02833,3.44759,-0.189201,1365,4
Zewnetrzna,4,20,1.88959,-0.295279,2.8163,2.83996,-0.189156,770,3.99962
Zewnetrzna,4,21,-1.44418,-2.51747,2.35558,3.23284,-0.189201,1295,4
Zewnetrzna,4,22,3.96903,1.40606,3.18757,2.41652,-0.189203,1045,4.00002
Zewnetrzna,4,23,-2.99194,-1.78762,2.89279,2.7627,-0.189212,950,4.00009
Zewnetrzna,4,24,3.77022,0.592298,3.52285,1.89458,-0.189199,1430,3.99999
Zewnetrzna,4,25,3.62666,2.34192,2.81298,2.84324,-0.189156,800,3.99961
Zewnetrzna,4,26,-0.11912,0.102425,2.81091,2.84585,-0.189202,885,4.00001
Zewnetrzna,4,27,3.6787,-2.85632,2.87919,2.77675,-0.189202,940,4.00001
Zewnetrzna,4,28,3.76879,2.36062,2.82825,2.82807,-0.189157,810,3.99962
Zewnetrzna,4,29,3.30487,-3.48386,1.88881,3.52595,-0.189199,1340,3.99999
Zewnetrzna,4,30,0.816957,-1.62992,2.26646,3.2959,-0.189198,1345,3.99998
Zewnetrzna,4,31,3.27643,2.09081,2.76046,2.89479,-0.189201,850,4
