Dlugosc_kroku,Lp,x1_0,x2_0,SD_x1_end,SD_x2_end,SD_y,SD_f_calls,SD_g_calls,SD_Globalne,CG_x1_end,CG_x2_end,CG_y,CG_f_calls,CG_g_calls,CG_Globalne,Newton_x1_end,Newton_x2_end,Newton_y,Newton_f_calls,Newton_g_calls,Newton_H_calls,Newton_Globalne
0.050000,1,-1.04297,0.623199,-4.32011e-09,1.04297e-08,1.01048e-16,240,0,TAK,-nan,-nan,-nan,10000,0,NIE,-1.07054,0.535271,0.877362,302,0,0,NIE
0.050000,2,0.0936777,0.101293,-4.30864e-09,1.0402e-08,1.00512e-16,188,0,TAK,-1.90632e-10,1.50216e-09,2.0428e-18,56,0,TAK,1.27512e-08,1.40192e-08,7.00483e-16,309,0,0,TAK
0.050000,3,1.78958,1.63064,1.74755,-0.873776,0.298638,196,0,NIE,-nan,-nan,-nan,10000,0,NIE,1.74755,-0.873776,0.298638,366,0,0,NIE
0.050000,4,-1.77045,-0.734541,-1.74755,0.873776,0.298638,191,0,NIE,-1.74755,0.873776,0.298638,58,0,NIE,-1.74755,0.873776,0.298638,357,0,0,NIE
0.050000,5,-1.78415,-1.27971,-1.74755,0.873776,0.298638,194,0,NIE,-1.74755,0.873776,0.298638,59,0,NIE,-1.74755,0.873776,0.298638,363,0,0,NIE
0.050000,6,0.135939,0.220513,-4.20097e-09,1.0142e-08,9.55509e-17,200,0,TAK,-5.79795e-10,2.27713e-09,4.53738e-18,57,0,TAK,9.37859e-09,1.56997e-08,5.69639e-16,322,0,0,TAK
0.050000,7,-0.841443,0.206807,-4.35245e-09,1.05077e-08,1.02566e-16,219,0,TAK,8.04913e-10,-2.92935e-09,7.519e-18,79,0,TAK,-1.07054,0.535271,0.877362,329,0,0,NIE
0.050000,8,0.452329,0.978465,-4.15452e-09,1.00299e-08,9.34497e-17,219,0,TAK,-1.21882e-09,1.64382e-09,3.66965e-18,62,0,TAK,5.63857e-09,1.74292e-08,4.65638e-16,350,0,0,TAK
0.050000,9,-1.007,0.335506,-4.18027e-09,1.00921e-08,9.46116e-17,228,0,TAK,-nan,-nan,-nan,10000,0,NIE,-1.07054,0.535271,0.877362,318,0,0,NIE
0.050000,10,-0.794771,-0.505864,4.18636e-09,-1.01068e-08,9.48873e-17,185,0,TAK,-1.15002e-09,1.46797e-09,3.11184e-18,59,0,TAK,-1.07054,0.535271,0.877362,349,0,0,NIE
0.050000,11,-0.376869,1.36671,-4.40698e-09,1.06394e-08,1.05152e-16,227,0,TAK,-4.76583e-10,1.91811e-09,3.21926e-18,64,0,TAK,-4.23293e-09,1.82481e-08,2.91585e-16,354,0,0,TAK
0.050000,12,-0.433347,1.51321,-4.23288e-09,1.02191e-08,9.70078e-17,229,0,TAK,-3.92941e-10,2.05473e-09,3.72335e-18,64,0,TAK,-4.08614e-09,1.80632e-08,2.85864e-16,356,0,0,TAK
0.050000,13,-1.22867,0.038558,-1.74755,0.873776,0.298638,189,0,NIE,nan,nan,nan,10000,0,NIE,-1.07054,0.535271,0.877362,335,0,0,NIE
0.050000,14,-1.03898,1.84927,-1.74755,0.873776,0.298638,182,0,NIE,-1.74755,0.873776,0.298638,54,0,NIE,-1.07054,0.535271,0.877362,353,0,0,NIE
0.050000,15,-0.216323,-0.152939,4.24718e-09,-1.02536e-08,9.76644e-17,188,0,TAK,3.59725e-10,-2.12078e-09,3.99363e-18,56,0,TAK,-1.43705e-08,-1.12685e-08,7.01937e-16,322,0,0,TAK
0.050000,16,1.4175,0.740712,1.74755,-0.873776,0.298638,193,0,NIE,1.74755,-0.873776,0.298638,57,0,NIE,1.07054,-0.535271,0.877362,354,0,0,NIE
0.050000,17,-1.52974,-0.488826,-1.74755,0.873776,0.298638,190,0,NIE,-1.74755,0.873776,0.298638,58,0,NIE,-1.74755,0.873776,0.298638,353,0,0,NIE
0.050000,18,-1.15799,-1.74016,4.43793e-09,-1.07141e-08,1.06634e-16,219,0,TAK,-1.55378e-10,1.58246e-09,2.30659e-18,57,0,TAK,-1.07054,0.535271,0.877362,364,0,0,NIE
0.050000,19,-0.858181,-0.928448,4.4035e-09,-1.0631e-08,1.04986e-16,211,0,TAK,3.45923e-10,-1.73196e-09,2.63988e-18,60,0,TAK,-1.07054,0.535271,0.877362,356,0,0,NIE
0.050000,20,-0.474701,-0.642331,4.41708e-09,-1.06638e-08,1.05635e-16,211,0,TAK,1.14867e-09,-2.33952e-09,5.4249e-18,60,0,TAK,-8.15736e-09,-1.70951e-08,5.64778e-16,343,0,0,TAK
0.050000,21,-0.208159,1.66124,-4.22614e-09,1.02028e-08,9.66994e-17,229,0,TAK,-5.77505e-10,2.06081e-09,3.72382e-18,64,0,TAK,-2.19205e-09,1.84604e-08,3.09931e-16,358,0,0,TAK
0.050000,22,1.57818,0.950398,1.74755,-0.873776,0.298638,193,0,NIE,1.74755,-0.873776,0.298638,58,0,NIE,1.74755,-0.873776,0.298638,359,0,0,NIE
0.050000,23,-0.131955,0.0305109,-4.25634e-09,1.02757e-08,9.80864e-17,192,0,TAK,-9.85066e-10,1.37508e-09,2.47701e-18,56,0,TAK,-1.77592e-08,3.99653e-09,5.75773e-16,309,0,0,TAK
0.050000,24,-0.0711374,0.861046,-4.40558e-09,1.0636e-08,1.05085e-16,220,0,TAK,-6.90969e-10,2.39394e-09,5.03169e-18,62,0,TAK,-1.5352e-09,1.86995e-08,3.25676e-16,345,0,0,TAK
0.050000,25,-1.63398,1.13409,-1.74755,0.873776,0.298638,172,0,NIE,-1.74755,0.873776,0.298638,54,0,NIE,-1.74755,0.873776,0.298638,324,0,0,NIE
0.050000,26,-1.64482,-0.0108519,-1.74755,0.873776,0.298638,185,0,NIE,-1.74755,0.873776,0.298638,57,0,NIE,-1.74755,0.873776,0.298638,345,0,0,NIE
0.050000,27,0.500796,-0.0781648,4.22991e-09,-1.02119e-08,9.68717e-17,208,0,TAK,8.99305e-10,-1.3893e-09,2.29825e-18,59,0,TAK,1.8483e-08,1.77679e-10,6.86558e-16,327,0,0,TAK
0.050000,28,-0.497637,1.27213,-4.39813e-09,1.0618e-08,1.0473e-16,227,0,TAK,-6.91016e-10,1.87342e-09,3.17015e-18,64,0,TAK,-5.13586e-09,1.80915e-08,2.87142e-16,352,0,0,TAK
0.050000,29,1.96039,0.463382,1.74755,-0.873776,0.298638,189,0,NIE,1.74755,-0.873776,0.298638,58,0,NIE,1.74755,-0.873776,0.298638,353,0,0,NIE
0.050000,30,1.1214,-0.25593,1.74755,-0.873776,0.298638,200,0,NIE,-nan,-nan,-nan,10000,0,NIE,1.07054,-0.535271,0.877362,324,0,0,NIE
0.050000,31,-1.68956,0.538899,-1.74755,0.873776,0.298638,176,0,NIE,-1.74755,0.873776,0.298638,54,0,NIE,-1.74755,0.873776,0.298638,327,0,0,NIE
0.050000,32,-1.51522,-1.2193,-1.74755,0.873776,0.298638,195,0,NIE,-1.74755,0.873776,0.298638,52,0,NIE,-1.74755,0.873776,0.298638,362,0,0,NIE
0.050000,33,-1.94993,-0.673212,-1.74755,0.873776,0.298638,191,0,NIE,-1.74755,0.873776,0.298638,58,0,NIE,-1.74755,0.873776,0.298638,356,0,0,NIE
0.050000,34,-0.959457,-0.808108,4.29692e-09,-1.03737e-08,9.99655e-17,199,0,TAK,-1.20188e-09,1.51331e-09,3.36031e-18,60,0,TAK,-1.07054,0.535271,0.877362,354,0,0,NIE
