Nr_iteracji,x1(0),x2(0),SD_005_x1,SD_005_x2,SD_005_y,SD_005_fc,SD_005_gc,SD_005_glob,SD_025_x1,SD_025_x2,SD_025_y,SD_025_fc,SD_025_gc,SD_025_glob,SD_Var_x1,SD_Var_x2,SD_Var_y,SD_Var_fc,SD_Var_gc,SD_Var_glob,CG_005_x1,CG_005_x2,CG_005_y,CG_005_fc,CG_005_gc,CG_005_glob,CG_025_x1,CG_025_x2,CG_025_y,CG_025_fc,CG_025_gc,CG_025_glob,CG_Var_x1,CG_Var_x2,CG_Var_y,CG_Var_fc,CG_Var_gc,CG_Var_glob,Newt_005_x1,Newt_005_x2,Newt_005_y,Newt_005_fc,Newt_005_gc,Newt_005_glob,Newt_025_x1,Newt_025_x2,Newt_025_y,Newt_025_fc,Newt_025_gc,Newt_025_glob,Newt_Var_x1,Newt_Var_x2,Newt_Var_y,Newt_Var_fc,Newt_Var_gc,Newt_Var_glob
1,-1.68862,0.595682,-1.74754,0.87369,0.298638,82,81,NIE,-1.52534,0.760828,0.486818,10000,9999,NIE,-1.74755,0.87376,0.298638,25,24,NIE,-1.74755,0.87376,0.298638,29,28,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,9,8,NIE,-1.74752,0.873598,0.298638,144,143,NIE,-1.74755,0.873749,0.298638,33,32,NIE,-1.74755,0.873776,0.298638,5,4,NIE
2,-0.511119,-0.693493,4.1902e-05,-0.00010116,9.50615e-09,101,100,TAK,5.70385e-06,-1.37703e-05,1.76146e-10,21,20,TAK,5.85492e-07,-1.04723e-06,1.16915e-12,12,11,TAK,1.1152e-05,-1.56265e-05,3.18655e-10,33,32,TAK,1.33665e-06,-4.79834e-06,2.01837e-11,13,12,TAK,2.4875e-07,-1.28501e-07,1.08301e-13,8,7,TAK,-7.42884e-05,-0.0001737,5.41131e-08,165,164,TAK,2.00057e-06,-2.36236e-05,5.18821e-10,38,37,TAK,1.26795e-12,-5.68306e-12,2.83067e-23,5,4,TAK
3,0.743478,0.199855,4.31542e-05,-0.000104183,1.00827e-08,92,91,TAK,3.56157e-06,-8.5984e-06,6.86783e-11,22,21,TAK,4.10721e-07,-8.13273e-07,6.64768e-13,10,9,TAK,6.16154e-06,-2.69336e-05,6.35396e-10,31,30,TAK,-1.34442e-06,5.52487e-06,2.67114e-11,14,13,TAK,7.6161e-07,-1.0116e-06,1.41299e-12,12,11,TAK,1.07048,-0.5351,0.877362,163,162,NIE,1.07054,-0.53525,0.877362,37,36,NIE,1.31304,-0.656518,0.75019,3,2,NIE
4,0.864869,-1.6072,4.15512e-05,-0.000100314,9.34767e-09,130,129,TAK,5.78485e-06,-1.39659e-05,1.81184e-10,28,27,TAK,-1.76536e-07,-3.47338e-06,1.27399e-11,19,18,TAK,-nan,-nan,-nan,10000,10000,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74753,0.873648,0.298638,252,251,NIE,1.07051,-0.535458,0.877362,170,169,NIE,1.07054,-0.535297,0.877362,38,37,NIE,1.11872,-0.559367,0.872251,3,2,NIE
5,-1.2461,-1.27258,-4.42915e-05,0.000106925,1.06205e-08,90,89,TAK,-4.82506e-06,1.16487e-05,1.26049e-10,24,23,TAK,-6.96565e-07,6.42308e-06,3.77522e-11,17,16,TAK,-nan,-nan,-nan,10000,10000,NIE,1.16362e-06,-3.92461e-06,1.35438e-11,22,21,TAK,2.59928e-06,-5.36476e-06,2.83486e-11,28,27,TAK,-1.07056,0.535085,0.877362,180,179,NIE,-1.07054,0.535247,0.877362,40,39,NIE,-1.05635,0.528167,0.876923,3,2,NIE
6,-1.19469,1.40245,-1.74756,0.873863,0.298638,84,83,NIE,-1.51446,0.854704,0.510626,10000,9999,NIE,-1.74755,0.873762,0.298638,30,29,NIE,-1.74755,0.873794,0.298638,27,26,NIE,-nan,-nan,-nan,10000,10000,NIE,-1.74755,0.873787,0.298638,11,10,NIE,-1.07057,0.535454,0.877362,166,165,NIE,-1.07055,0.535299,0.877362,37,36,NIE,-1.06754,0.533773,0.877342,3,2,NIE
7,-0.285786,-1.58874,4.25781e-05,-0.000102793,9.8154e-09,115,114,TAK,4.95329e-06,-1.19583e-05,1.32838e-10,24,23,TAK,1.72261e-06,-2.52314e-06,7.95462e-12,16,15,TAK,2.90428e-06,-2.02916e-05,3.69685e-10,36,35,TAK,1.33774e-06,-2.14484e-06,5.3102e-12,15,14,TAK,-4.01211e-07,3.73851e-07,3.11712e-13,9,8,TAK,-2.91967e-05,-0.000182887,4.04922e-08,178,177,TAK,-4.33403e-06,-2.87918e-05,9.9132e-10,39,38,TAK,-1.32342e-15,-5.81852e-15,4.50584e-29,5,4,TAK
8,0.104828,-1.95922,4.28685e-05,-0.000103494,9.94976e-09,119,118,TAK,4.38693e-06,-1.0591e-05,1.04198e-10,25,24,TAK,2.30653e-06,-2.51299e-06,1.1159e-11,18,17,TAK,1.08125e-06,-1.49806e-05,2.10558e-10,37,36,TAK,-6.62356e-07,2.61293e-06,5.97415e-12,15,14,TAK,-3.12168e-07,-2.11674e-06,5.33628e-12,9,8,TAK,9.5992e-06,-0.000181925,3.15345e-08,182,181,TAK,1.37735e-06,-2.62567e-05,6.57042e-10,40,39,TAK,-1.33609e-14,-2.08731e-14,1.0716e-27,4,3,TAK
9,0.125304,-1.99436,4.39469e-05,-0.000106097,1.04566e-08,119,118,TAK,4.51523e-06,-1.09007e-05,1.10381e-10,25,24,TAK,2.32017e-06,-2.4814e-06,1.11665e-11,18,17,TAK,2.97323e-06,-2.24639e-05,4.55516e-10,36,35,TAK,-2.47777e-06,4.4613e-06,2.11278e-11,14,13,TAK,-4.08428e-07,-4.04807e-06,1.83738e-11,9,8,TAK,1.14036e-05,-0.000185139,3.24255e-08,182,181,TAK,1.6319e-06,-2.67178e-05,6.75565e-10,40,39,TAK,6.93816e-14,-1.8954e-13,3.24023e-26,4,3,TAK
10,-0.152244,0.166342,-4.43108e-05,0.000106976,1.06305e-08,92,91,TAK,-5.59478e-06,1.3507e-05,1.69473e-10,20,19,TAK,-3.96698e-06,4.40143e-06,3.33861e-11,15,14,TAK,-1.10037e-05,2.39729e-05,5.53071e-10,30,29,TAK,-1.087e-06,2.01053e-06,4.21994e-12,13,12,TAK,-1.10658e-08,3.03713e-08,8.31238e-16,6,5,TAK,-0.000124514,0.000138318,3.29169e-08,139,138,TAK,-1.95256e-05,2.18466e-05,8.13206e-10,32,31,TAK,1.52015e-15,9.99615e-14,1.01489e-26,4,3,TAK
