Dlugosc_kroku,Lp,x1_0,x2_0,SD_x1,SD_x2,SD_y,SD_f_calls,SD_g_calls,SD_Globalne,CG_x1,CG_x2,CG_y,CG_f_calls,CG_g_calls,CG_Globalne,Newt_x1,Newt_x2,Newt_y,Newt_f_calls,Newt_g_calls,Newt_H_calls,Newt_Globalne
0.050000,1,1.38479,1.97139,-4.24503e-05,0.00010249,9.75752e-09,187,186,TAK,-nan,-nan,-nan,187,186,NIE,1.07056,-0.535089,0.877362,187,186,186,NIE
0.050000,2,0.426782,1.37506,-4.39482e-05,0.0001061,1.04572e-08,176,175,TAK,-6.45257e-06,2.45051e-05,5.25648e-10,176,175,TAK,4.15408e-05,0.000179957,4.33112e-08,176,175,175,TAK
0.050000,3,1.88309,-1.36953,1.74756,-0.873868,0.298638,157,156,NIE,1.74755,-0.873793,0.298638,157,156,NIE,1.74762,-0.873952,0.298638,157,156,156,NIE
0.050000,4,1.19713,-0.457036,1.74754,-0.873683,0.298638,131,130,NIE,1.74755,-0.873792,0.298638,131,130,NIE,1.0707,-0.535172,0.877362,131,130,130,NIE
0.050000,5,-0.282687,1.27698,-4.13213e-05,9.97585e-05,9.2445e-09,173,172,TAK,-7.7186e-06,1.91801e-05,3.38987e-10,173,172,TAK,-3.74156e-05,0.000186086,3.04654e-08,173,172,172,TAK
0.050000,6,-0.77572,1.17611,-4.38518e-05,0.000105868,1.04114e-08,162,161,TAK,-8.28227e-07,-1.64685e-05,2.86223e-10,162,161,TAK,-1.07048,0.535445,0.877362,162,161,161,NIE
0.050000,7,-1.92884,1.77528,-1.74756,0.873867,0.298638,169,168,NIE,-1.74755,0.873797,0.298638,169,168,NIE,-1.7476,0.873949,0.298638,169,168,168,NIE
0.050000,8,-1.77455,-0.734237,-1.74754,0.873685,0.298638,178,177,NIE,-1.74755,0.873756,0.298638,178,177,NIE,-1.74756,0.873593,0.298638,178,177,177,NIE
0.050000,9,1.19397,0.813593,4.40462e-05,-0.000106337,1.05039e-08,174,173,TAK,-nan,-nan,-nan,174,173,NIE,1.07056,-0.535082,0.877362,174,173,173,NIE
0.050000,10,-1.47163,-0.414074,-1.74754,0.87369,0.298638,170,169,NIE,-1.74755,0.87376,0.298638,170,169,NIE,-1.07058,0.535091,0.877362,170,169,169,NIE
0.050000,11,1.03765,-0.141709,4.23463e-05,-0.000102233,9.70883e-09,150,149,TAK,nan,nan,nan,150,149,NIE,1.07053,-0.535083,0.877362,150,149,149,NIE
0.050000,12,0.119519,-0.979178,4.15774e-05,-0.000100377,9.35947e-09,168,167,TAK,4.5096e-06,-1.95098e-05,3.33325e-10,168,167,TAK,2.23454e-05,-0.000186301,3.15436e-08,168,167,167,TAK
0.050000,13,1.43617,-1.50008,1.74756,-0.873871,0.298638,168,167,NIE,1.74755,-0.873797,0.298638,168,167,NIE,1.0706,-0.535447,0.877362,168,167,167,NIE
0.050000,14,-0.632613,-1.78964,4.31453e-05,-0.000104162,1.00787e-08,184,183,TAK,9.32602e-06,-2.7903e-05,6.92302e-10,184,183,TAK,-1.07052,0.535083,0.877362,184,183,183,NIE
0.050000,15,-0.511408,-0.037179,-4.33978e-05,0.000104771,1.01969e-08,148,147,TAK,-2.54735e-08,1.52452e-05,2.3203e-10,148,147,TAK,-0.000177593,-6.6823e-05,7.94112e-08,148,147,147,TAK
0.050000,16,0.452727,-1.12662,4.34857e-05,-0.000104984,1.02383e-08,171,170,TAK,1.0608e-05,-1.76917e-05,3.50383e-10,171,170,TAK,5.47964e-05,-0.000174419,2.68698e-08,171,170,170,TAK
0.050000,17,-0.0657848,-1.12049,4.40195e-05,-0.000106272,1.04912e-08,171,170,TAK,1.40144e-06,-1.45702e-05,1.95798e-10,171,170,TAK,-1.06831e-05,-0.000183017,3.56788e-08,171,170,170,TAK
0.050000,18,-1.75156,-0.182695,-1.74754,0.873688,0.298638,170,169,NIE,-1.74755,0.873756,0.298638,170,169,NIE,-1.74755,0.873595,0.298638,170,169,169,NIE
0.050000,19,-0.490015,1.44558,-4.35866e-05,0.000105227,1.02859e-08,175,174,TAK,-8.0302e-06,2.08568e-05,3.96489e-10,175,174,TAK,-4.51339e-05,0.000182263,2.90677e-08,175,174,174,TAK
0.050000,20,1.36027,1.2273,4.24962e-05,-0.000102595,9.77766e-09,180,179,TAK,nan,nan,nan,180,179,NIE,1.07057,-0.535088,0.877362,180,179,179,NIE
0.050000,21,0.722557,-1.41545,4.10326e-05,-9.90616e-05,9.11579e-09,168,167,TAK,1.00095e-07,1.70937e-05,2.93926e-10,168,167,TAK,1.07049,-0.535448,0.877362,168,167,167,NIE
0.050000,22,0.403404,0.793716,-4.40091e-05,0.000106247,1.04863e-08,166,165,TAK,-1.20648e-05,2.14096e-05,4.91188e-10,166,165,TAK,6.76514e-05,0.000176262,5.2146e-08,166,165,165,TAK
0.050000,23,-1.64017,0.628859,-1.74754,0.87369,0.298638,141,140,NIE,-1.74755,0.873754,0.298638,141,140,NIE,-1.74749,0.873601,0.298638,141,140,140,NIE
0.050000,24,-1.94052,1.5538,-1.74756,0.873869,0.298638,164,163,NIE,-1.74755,0.873793,0.298638,164,163,NIE,-1.74763,0.87395,0.298638,164,163,163,NIE
0.050000,25,-0.557548,-1.41215,4.27221e-05,-0.00010314,9.88191e-09,181,180,TAK,7.28862e-06,-2.38798e-05,5.02441e-10,181,180,TAK,3.30656e-05,-0.000181871,2.925e-08,181,180,180,TAK
0.050000,26,-0.860276,-1.5199,4.18037e-05,-0.000100923,9.46159e-09,183,182,TAK,1.37781e-05,-2.48883e-05,6.56186e-10,183,182,TAK,-1.07053,0.535091,0.877362,183,182,182,NIE
0.050000,27,0.446141,1.25924,-4.2626e-05,0.000102908,9.83751e-09,175,174,TAK,-1.09362e-05,2.85662e-05,7.4282e-10,175,174,TAK,4.44362e-05,0.000174955,4.23327e-08,175,174,174,TAK
0.050000,28,-0.499078,-0.117686,-4.39241e-05,0.00010604,1.04455e-08,150,149,TAK,-2.18938e-06,2.05071e-05,3.85232e-10,150,149,TAK,-0.00016223,-9.49811e-05,7.70676e-08,150,149,149,TAK
0.050000,29,1.75916,0.868309,1.74754,-0.873686,0.298638,179,178,NIE,1.74755,-0.873756,0.298638,179,178,NIE,1.74755,-0.873587,0.298638,179,178,178,NIE
0.050000,30,0.0926737,-0.752248,4.4273e-05,-0.000106885,1.06124e-08,163,162,TAK,4.17988e-06,-2.16562e-05,4.13414e-10,163,162,TAK,2.25595e-05,-0.00018505,3.10866e-08,163,162,162,TAK
0.050000,31,-1.16887,-1.4546,4.40688e-05,-0.000106392,1.05148e-08,182,181,TAK,-7.34564e-06,4.73698e-06,9.55598e-11,182,181,TAK,-1.07055,0.535086,0.877362,182,181,181,NIE
0.050000,32,0.121132,0.765345,-4.33167e-05,0.000104576,1.01589e-08,164,163,TAK,-8.86419e-06,2.91123e-05,7.46618e-10,164,163,TAK,2.77905e-05,0.000179249,3.86561e-08,164,163,163,TAK
