Metoda,Krok,Nr_Iteracji,x1,x2
SD,0.050000,0,1.4578,0.868796
SD,0.050000,1,1.4442,0.709026
SD,0.050000,2,1.43834,0.565914
SD,0.050000,3,1.43946,0.437406
SD,0.050000,4,1.44704,0.321692
SD,0.050000,5,1.46062,0.217171
SD,0.050000,6,1.47962,0.122423
SD,0.050000,7,1.50324,0.0362002
SD,0.050000,8,1.53033,-0.0425818
SD,0.050000,9,1.55935,-0.11484
SD,0.050000,10,1.58849,-0.181324
SD,0.050000,11,1.61589,-0.242616
SD,0.050000,12,1.64004,-0.299148
SD,0.050000,13,1.6601,-0.351236
SD,0.050000,14,1.67598,-0.399117
SD,0.050000,15,1.68818,-0.443004
SD,0.050000,16,1.69746,-0.483113
SD,0.050000,17,1.7046,-0.519675
SD,0.050000,18,1.7102,-0.552937
SD,0.050000,19,1.71474,-0.583154
SD,0.050000,20,1.71851,-0.610575
SD,0.050000,21,1.72171,-0.635443
SD,0.050000,22,1.72447,-0.657984
SD,0.050000,23,1.72689,-0.678409
SD,0.050000,24,1.72902,-0.696912
SD,0.050000,25,1.73091,-0.713672
SD,0.050000,26,1.73259,-0.72885
SD,0.050000,27,1.73409,-0.742595
SD,0.050000,28,1.73543,-0.75504
SD,0.050000,29,1.73663,-0.766307
SD,0.050000,30,1.73771,-0.776508
SD,0.050000,31,1.73868,-0.785743
SD,0.050000,32,1.73955,-0.794102
SD,0.050000,33,1.74033,-0.801669
SD,0.050000,34,1.74103,-0.808519
SD,0.050000,35,1.74166,-0.814718
SD,0.050000,36,1.74224,-0.82033
SD,0.050000,37,1.74275,-0.825409
SD,0.050000,38,1.74321,-0.830005
SD,0.050000,39,1.74363,-0.834165
SD,0.050000,40,1.74401,-0.83793
SD,0.050000,41,1.74435,-0.841338
SD,0.050000,42,1.74466,-0.844422
SD,0.050000,43,1.74494,-0.847212
SD,0.050000,44,1.74519,-0.849738
SD,0.050000,45,1.74541,-0.852023
SD,0.050000,46,1.74562,-0.854092
SD,0.050000,47,1.7458,-0.855964
SD,0.050000,48,1.74597,-0.857657
SD,0.050000,49,1.74612,-0.85919
SD,0.050000,50,1.74626,-0.860577
SD,0.050000,51,1.74638,-0.861832
SD,0.050000,52,1.74649,-0.862968
SD,0.050000,53,1.74659,-0.863996
SD,0.050000,54,1.74669,-0.864926
SD,0.050000,55,1.74677,-0.865768
SD,0.050000,56,1.74684,-0.86653
SD,0.050000,57,1.74691,-0.867219
SD,0.050000,58,1.74697,-0.867843
SD,0.050000,59,1.74703,-0.868407
SD,0.050000,60,1.74708,-0.868918
SD,0.050000,61,1.74712,-0.86938
SD,0.050000,62,1.74716,-0.869798
SD,0.050000,63,1.7472,-0.870176
SD,0.050000,64,1.74723,-0.870519
SD,0.050000,65,1.74726,-0.870829
SD,0.050000,66,1.74729,-0.871109
SD,0.050000,67,1.74732,-0.871363
SD,0.050000,68,1.74734,-0.871592
SD,0.050000,69,1.74736,-0.8718
SD,0.050000,70,1.74738,-0.871988
SD,0.050000,71,1.74739,-0.872158
SD,0.050000,72,1.74741,-0.872312
SD,0.050000,73,1.74742,-0.872451
SD,0.050000,74,1.74744,-0.872577
SD,0.050000,75,1.74745,-0.872691
SD,0.050000,76,1.74746,-0.872794
SD,0.050000,77,1.74747,-0.872888
SD,0.050000,78,1.74747,-0.872972
SD,0.050000,79,1.74748,-0.873049
SD,0.050000,80,1.74749,-0.873118
SD,0.050000,81,1.74749,-0.873181
SD,0.050000,82,1.7475,-0.873237
SD,0.050000,83,1.7475,-0.873289
SD,0.050000,84,1.74751,-0.873335
SD,0.050000,85,1.74751,-0.873377
SD,0.050000,86,1.74752,-0.873415
SD,0.050000,87,1.74752,-0.873449
SD,0.050000,88,1.74752,-0.87348
SD,0.050000,89,1.74753,-0.873508
SD,0.050000,90,1.74753,-0.873534
SD,0.050000,91,1.74753,-0.873557
SD,0.050000,92,1.74753,-0.873578
SD,0.050000,93,1.74753,-0.873597
SD,0.050000,94,1.74754,-0.873614
SD,0.050000,95,1.74754,-0.873629
SD,0.050000,96,1.74754,-0.873643
SD,0.050000,97,1.74754,-0.873656
SD,0.050000,98,1.74754,-0.873667
SD,0.050000,99,1.74754,-0.873678
SD,0.050000,100,1.74754,-0.873687
SD,0.250000,0,1.4578,0.868796
SD,0.250000,1,1.38979,0.0699487
SD,0.250000,2,1.5049,-0.312473
SD,0.250000,3,1.72706,-0.532461
SD,0.250000,4,1.70076,-0.697995
SD,0.250000,5,1.78249,-0.774187
SD,0.250000,6,1.6416,-0.832715
SD,0.250000,7,1.87282,-0.826758
SD,0.250000,8,1.34398,-0.881585
SD,0.250000,9,1.67314,-0.776787
SD,0.250000,10,1.83422,-0.806679
SD,0.250000,11,1.49084,-0.861895
SD,0.250000,12,1.85352,-0.803656
SD,0.250000,13,1.41792,-0.865208
SD,0.250000,14,1.77671,-0.787083
SD,0.250000,15,1.65961,-0.83772
SD,0.250000,16,1.86152,-0.833763
SD,0.250000,17,1.39333,-0.882262
SD,0.250000,18,1.74794,-0.789463
SD,0.250000,19,1.72568,-0.831717
SD,0.250000,20,1.77794,-0.847278
SD,0.250000,21,1.67157,-0.868124
SD,0.250000,22,1.85858,-0.851953
SD,0.250000,23,1.40981,-0.890623
SD,0.250000,24,1.77252,-0.797764
SD,0.250000,25,1.67267,-0.842012
SD,0.250000,26,1.85099,-0.839174
SD,0.250000,27,1.43668,-0.882334
SD,0.250000,28,1.80406,-0.800337
SD,0.250000,29,1.58777,-0.851184
SD,0.250000,30,1.89295,-0.822536
SD,0.250000,31,1.25144,-0.884506
SD,0.250000,32,1.51167,-0.755114
SD,0.250000,33,1.84244,-0.755474
SD,0.250000,34,1.4482,-0.838347
SD,0.250000,35,1.80623,-0.781224
SD,0.250000,36,1.57647,-0.84217
SD,0.250000,37,1.8901,-0.815203
SD,0.250000,38,1.26309,-0.880128
SD,0.250000,39,1.53218,-0.755836
SD,0.250000,40,1.85471,-0.760964
SD,0.250000,41,1.40254,-0.84416
SD,0.250000,42,1.75115,-0.772714
SD,0.250000,43,1.71486,-0.824143
SD,0.250000,44,1.79363,-0.840787
SD,0.250000,45,1.6281,-0.868801
SD,0.250000,46,1.88874,-0.841425
SD,0.250000,47,1.27604,-0.892897
SD,0.250000,48,1.55908,-0.76546
SD,0.250000,49,1.86762,-0.7725
SD,0.250000,50,1.35267,-0.853154
SD,0.250000,51,1.6799,-0.764745
SD,0.250000,52,1.82431,-0.802348
SD,0.250000,53,1.52402,-0.857251
SD,0.250000,54,1.87566,-0.809631
SD,0.250000,55,1.32732,-0.873731
SD,0.250000,56,1.64385,-0.768697
SD,0.250000,57,1.85546,-0.795311
SD,0.250000,58,1.40814,-0.861521
SD,0.250000,59,1.76303,-0.782796
SD,0.250000,60,1.69137,-0.832154
SD,0.250000,61,1.82807,-0.838919
SD,0.250000,62,1.52038,-0.876477
SD,0.250000,63,1.87832,-0.818333
SD,0.250000,64,1.31774,-0.878747
SD,0.250000,65,1.62895,-0.768808
SD,0.250000,66,1.86337,-0.791641
SD,0.250000,67,1.3752,-0.861662
SD,0.250000,68,1.71658,-0.774631
SD,0.250000,69,1.77857,-0.81646
SD,0.250000,70,1.66225,-0.852873
SD,0.250000,71,1.86314,-0.842
SD,0.250000,72,1.38875,-0.886784
SD,0.250000,73,1.7426,-0.790579
SD,0.250000,74,1.73666,-0.830939
SD,0.250000,75,1.75812,-0.849635
SD,0.250000,76,1.7191,-0.864347
SD,0.250000,77,1.79699,-0.861949
SD,0.250000,78,1.62387,-0.880221
SD,0.250000,79,1.89332,-0.846079
SD,0.250000,80,1.25557,-0.89637
SD,0.250000,81,1.52232,-0.762077
SD,0.250000,82,1.85088,-0.761618
SD,0.250000,83,1.41771,-0.843529
SD,0.250000,84,1.77103,-0.776192
SD,0.250000,85,1.6709,-0.830854
