w,l[mm],d[mm],Masa[kg],Ugiecie[mm],Naprezenie[MPa],Weighted_Sum,f_calls
0,767.842,22.5624,2.7384,197.712,1361.9,6.10974e+09,23
0.01,581.436,22.7503,2.10829,83.0455,1005.94,1.04355e+09,21
0.02,795.816,46.4185,12.013,12.2866,162.095,1.53243e+07,20
0.03,455.623,31.401,3.14736,11.0104,299.783,1.15882e+07,21
0.04,414.945,46.852,6.38119,1.6781,82.1933,0.256859,19
0.05,705.58,42.0108,8.72413,12.763,193.863,1.68527e+07,20
0.06,998.213,15.9169,1.77172,1753.86,5042.87,4.91009e+11,23
0.07,741.217,25.258,3.31283,113.239,937.081,1.96661e+09,22
0.08,254.445,38.1724,2.59745,0.878096,93.1915,0.208604,18
0.09,677.705,31.8989,4.83111,34.0234,425.348,1.5917e+08,21
0.1,635.105,35.7047,5.67219,17.84,284.25,3.76503e+07,21
0.11,392.106,32.7731,2.95048,5.91422,226.924,1.8651e+06,19
0.12,585.045,43.8315,7.87438,6.14017,141.534,2.12014e+06,19
0.13,699.562,37.2221,6.79019,20.1853,276.347,5.00431e+07,20
0.14,745.598,16.5654,1.43339,622.963,3341.39,6.16986e+10,23
0.15,332.28,25.672,1.53419,9.55939,400.087,8.0849e+06,20
0.16,582.556,35.6858,5.19736,13.7972,261.146,2.04204e+07,20
0.17,768.445,18.9186,1.92684,400.904,2311.94,2.54411e+10,23
0.18,642.086,11.2034,0.564609,1901.68,9301.93,5.77999e+11,23
0.19,806.391,42.8515,10.3737,17.6007,208.774,3.64848e+07,21
0.2,961.108,25.5986,4.41223,233.998,1167.23,8.58297e+09,23
0.21,697.246,47.9661,11.2385,7.24736,128.711,3.606e+06,18
0.22,630.309,21.9232,2.12234,122.689,1218.64,2.32064e+09,22
0.23,464.482,34.2377,3.81446,8.25364,235.768,5.2967e+06,21
0.24,201.91,47.1093,3.13926,0.18915,39.343,0.753567,14
0.25,322.732,31.8508,2.2937,3.6966,203.475,229097,17
0.26,656.28,25.7419,3.04667,72.8559,783.788,7.94594e+08,21
0.27,292.478,12.0663,0.298328,133.58,3391.58,2.85532e+09,20
0.28,391.467,39.602,4.30115,2.76043,128.403,10852.9,16
0.29,785.767,46.8533,12.0845,11.3941,155.634,1.26567e+07,20
0.3,923.348,45.9023,13.6298,20.0685,194.487,4.93845e+07,20
0.31,450.505,25.2952,2.01944,25.2757,567.041,8.37894e+07,20
0.32,631.762,10.9475,0.530445,1986.79,9809.22,6.30991e+11,23
0.33,684.277,13.6924,0.898759,1031.67,5430.33,1.69762e+11,23
0.34,243.019,24.5334,1.02473,4.4838,335.272,643498,16
0.35,930.878,10.2063,0.679342,8413.08,17836.6,1.13215e+13,24
0.36,802.639,31.4062,5.54634,60.1528,527.841,5.32392e+08,22
0.37,963.448,21.6474,3.16297,460.913,1934.82,3.36524e+10,23
0.38,866.588,21.3965,2.77941,351.418,1802.25,1.95041e+10,23
