w;x1(0);x2(0);a1_x1*;a1_x2*;a1_f1*;a1_f2*;a1_calls;a10_x1*;a10_x2*;a10_f1*;a10_f2*;a10_calls;a100_x1*;a100_x2*;a100_f1*;a100_f2*;a100_calls
0;-2.80352;-5.17153;-2.80352;-5.17153;100.455;4.75413;28;-2.80352;-5.17153;1004.55;0.475413;28;-2.80352;-5.17153;10045.5;0.0475413;28
0.01;-8.77704;3.49496;-8.77704;3.49496;138.944;75.5587;34;-8.77704;3.49496;1389.44;7.55587;34;-8.77704;3.49496;13894.4;0.755587;34
0.02;-2.26995;-7.28056;-2.26995;-7.28056;133.462;18.8562;30;-2.26995;-7.28056;1334.62;1.88562;30;-2.26995;-7.28056;13346.2;0.188562;28
0.03;5.37852;-1.99681;5.37852;-1.99681;30.6255;71.206;33;5.37852;-1.99681;306.255;7.1206;33;5.37852;-1.99681;3062.55;0.71206;31
0.04;8.29741;-6.21312;8.29741;-6.21312;112.944;137.956;34;8.29741;-6.21312;1129.44;13.7956;34;8.29741;-6.21312;11294.4;1.37956;34
0.05;-2.11437;9.36748;-2.11437;9.36748;66.7016;153.739;34;-2.11437;9.36748;667.016;15.3739;34;-2.11437;9.36748;6670.16;1.53739;32
0.06;-8.51943;-2.97397;-8.51943;-2.97397;168.386;30.4648;26;-8.51943;-2.97397;1683.86;3.04648;24;-8.51943;-2.97397;16838.6;0.304648;32
0.07;-2.26254;-6.20618;-2.26254;-6.20618;112.448;10.8234;30;-2.26254;-6.20618;1124.48;1.08234;30;-2.26254;-6.20618;11244.8;0.108234;31
0.08;9.5265;8.84118;9.5265;8.84118;76.7146;297.127;37;9.5265;8.84118;767.146;29.7127;37;9.5265;8.84118;7671.46;2.97127;36
0.09;6.00538;1.65452;6.00538;1.65452;10.8427;102.761;35;6.00538;1.65452;108.427;10.2761;35;6.00538;1.65452;1084.27;1.02761;33
0.1;-6.53316;-4.68031;-6.53316;-4.68031;149.868;15.3067;31;-6.53316;-4.68031;1498.68;1.53067;31;-6.53316;-4.68031;14986.8;0.153067;33
0.11;7.87669;2.59021;7.87669;2.59021;23.95;149.553;35;7.87669;2.59021;239.5;14.9553;35;7.87669;2.59021;2395;1.49553;34
0.12;-8.91147;0.779065;-8.91147;0.779065;146.816;49.2268;33;-8.91147;0.779065;1468.16;4.92268;33;-8.91147;0.779065;14681.6;0.492268;30
0.13;1.95628;-6.3478;1.95628;-6.3478;88.4707;35.7724;33;1.95628;-6.3478;884.707;3.57724;33;1.95628;-6.3478;8847.07;0.357724;32
0.14;4.53767;-8.79984;4.53767;-8.79984;141.601;90.4547;34;4.53767;-8.79984;1416.01;9.04547;34;4.53767;-8.79984;14160.1;0.904547;34
0.15;-4.04954;-8.26585;-4.04954;-8.26585;176.615;28.8307;30;-4.04954;-8.26585;1766.15;2.88307;30;-4.04954;-8.26585;17661.5;0.288307;33
0.16;-3.97137;-2.82658;-3.97137;-2.82658;82.549;0.973632;26;-3.97137;-2.82658;825.49;0.0973632;25;-3.97137;-2.82658;8254.9;0.00973632;32
0.17;5.22911;3.75868;5.22911;3.75868;5.54454;113.398;36;5.22911;3.75868;55.4454;11.3398;36;5.22911;3.75868;554.454;1.13398;33
0.18;-0.107143;0.607636;-0.107143;0.607636;15.3777;21.3837;33;-0.107143;0.607636;153.777;2.13837;33;-0.107143;0.607636;1537.77;0.213837;27
0.19;-8.23813;-1.80973;-8.23813;-1.80973;149.429;28.8548;31;-8.23813;-1.80973;1494.29;2.88548;31;-8.23813;-1.80973;14942.9;0.288548;32
0.2;4.39452;-0.352505;4.39452;-0.352505;13.184;61.6881;34;4.39452;-0.352505;131.84;6.16881;34;4.39452;-0.352505;1318.4;0.616881;32
0.21;-2.44225;5.87508;-2.44225;5.87508;37.8842;79.0782;32;-2.44225;5.87508;378.842;7.90782;32;-2.44225;5.87508;3788.42;0.790782;33
0.22;6.67353;5.2952;6.67353;5.2952;18.7628;162.388;36;6.67353;5.2952;187.628;16.2388;36;6.67353;5.2952;1876.28;1.62388;34
0.23;9.6689;6.20003;9.6689;6.20003;54.7145;245.142;37;9.6689;6.20003;547.145;24.5142;37;9.6689;6.20003;5471.45;2.45142;35
0.24;4.13639;5.67429;4.13639;5.67429;8.44319;126.171;36;4.13639;5.67429;84.4319;12.6171;36;4.13639;5.67429;844.319;1.26171;33
0.25;-2.14546;7.60322;-2.14546;7.60322;47.6654;113.159;33;-2.14546;7.60322;476.654;11.3159;32;-2.14546;7.60322;4766.54;1.13159;33
0.26;-9.00602;-4.26876;-9.00602;-4.26876;196.98;37.6821;30;-9.00602;-4.26876;1969.8;3.76821;31;-9.00602;-4.26876;19698;0.376821;33
0.27;0.193433;-7.91749;0.193433;-7.91749;127.068;34.3797;33;0.193433;-7.91749;1270.68;3.43797;32;0.193433;-7.91749;12706.8;0.343797;31
