w;l(0)_mm;d(0)_mm;l*_mm;d*_mm;masa_kg;ugiecie_mm;naprezenie_MPa;calls
0;279.115;43.2603;279.115;43.2603;3.65945;0.702665;70.2336;17
0.01;782.403;28.1713;782.403;28.1713;4.3501;86.0636;712.917;22
0.02;920.262;35.0395;920.262;35.0395;7.91557;58.5141;435.781;22
0.03;347.774;34.4477;347.774;34.4477;2.89116;3.38074;173.32;18
0.04;376.566;44.8587;376.566;44.8587;5.30872;1.49242;84.9826;19
0.05;357.053;46.9744;357.053;46.9744;5.51962;1.05806;70.1744;20
0.06;619.209;19.9714;619.209;19.9714;1.73025;168.902;1583.59;22
0.07;508.437;18.7656;508.437;18.7656;1.25434;119.955;1567.4;22
0.08;355.177;27.2878;355.177;27.2878;1.85284;9.1457;356.097;20
0.09;601.215;27.6559;601.215;27.6559;3.22151;42.0433;579.025;21
0.1;607.316;22.5855;607.316;22.5855;2.17034;97.4287;1073.89;21
0.11;707.747;31.0088;707.747;31.0088;4.76762;43.3964;483.565;21
0.12;721.173;25.0552;721.173;25.0552;3.17169;107.717;934.063;22
0.13;262.563;49.9559;262.563;49.9559;4.59053;0.328938;42.9046;19
0.14;831.573;27.7834;831.573;27.7834;4.49702;109.224;789.907;22
0.15;812.478;45.5344;812.478;45.5344;11.8017;14.12;175.317;20
0.16;420.873;29.744;420.873;29.744;2.60859;10.7798;325.823;20
0.17;474.114;17.0568;474.114;17.0568;0.966343;142.502;1946.36;22
0.18;295.671;31.0944;295.671;31.0944;2.00276;3.12933;200.35;16
0.19;830.088;23.6118;830.088;23.6118;3.24219;208.263;1284.59;23
0.2;519.064;49.3571;519.064;49.3571;8.85878;2.667;87.9433;17
0.21;411.725;46.9136;411.725;46.9136;6.34833;1.63073;81.2343;19
0.22;386.569;36.0081;386.569;36.0081;3.51141;3.88902;168.678;19
0.23;313.585;27.0873;313.585;27.0873;1.61191;6.48272;321.43;18
0.24;265.918;35.74;265.918;35.74;2.37964;1.30431;118.663;18
0.25;894.864;33.6617;894.864;33.6617;7.1037;63.1661;477.945;22
0.26;966.509;30.1306;966.509;30.1306;6.14716;123.979;719.805;22
0.27;293.41;34.3841;293.41;34.3841;2.43022;2.04526;147.038;16
0.28;903.715;17.7987;903.715;17.7987;2.00568;832.344;3265.12;23
0.29;686.8;36.7644;686.8;36.7644;6.5034;20.0696;281.564;20
0.3;711.641;24.9639;711.641;24.9639;3.107;105.024;931.864;22
0.31;645.976;46.6257;645.976;46.6257;9.83834;6.45516;129.829;19
0.32;894.159;46.0045;894.159;46.0045;13.2578;18.0634;187.087;20
0.33;273.649;49.4915;273.649;49.4915;4.6958;0.386559;45.9866;20
0.34;541.98;45.1869;541.98;45.1869;7.75286;4.32174;119.668;19
0.35;462.067;43.0522;462.067;43.0522;5.99997;3.25006;117.964;19
0.36;890.878;33.6896;890.878;33.6896;7.08376;62.12;474.638;22
0.37;799.316;13.8724;799.316;13.8724;1.07764;1560.67;6099.54;23
0.38;393.952;45.645;393.952;45.645;5.75023;1.59409;84.3904;19
0.39;619.194;22.9935;619.194;22.9935;2.29346;96.1205;1037.63;21
0.4;627.701;25.7029;627.701;25.7029;2.90517;64.1338;753.072;21
0.41;933.105;29.7105;933.105;29.7105;5.77038;118.007;724.821;22
0.42;916.669;11.3257;916.669;11.3257;0.823756;5298.25;12854.2;23
0.43;281.892;41.0192;281.892;41.0192;3.32286;0.895486;83.2055;19
0.44;382.488;38.4346;382.488;38.4346;3.95838;2.90214;137.24;17
0.45;555.672;44.7064;555.672;44.7064;7.7806;4.8611;126.689;19
0.46;267.971;10.0824;267.971;10.0824;0.190841;210.746;5326.26;20
0.47;826.642;48.1065;826.642;48.1065;13.4023;11.937;151.264;19
0.48;921.739;45.0145;921.739;45.0145;13.0848;21.586;205.864;21
0.49;951.96;23.186;951.96;23.186;3.58528;337.842;1555.87;23
0.5;804.027;20.7013;804.027;20.7013;2.41392;320.315;1846.32;23
0.51;324.762;34.7453;324.762;34.7453;2.7467;2.65994;157.728;15
0.52;887.818;46.2039;887.818;46.2039;13.2781;17.3786;183.365;20
0.53;772.353;14.0885;772.353;14.0885;1.07399;1323.57;5626.68;23
0.54;836.979;19.5773;836.979;19.5773;2.24738;451.739;2272.4;23
0.55;541.64;23.234;541.64;23.234;2.04839;61.7156;879.77;21
0.56;705.604;23.7372;705.604;23.7372;2.78533;125.234;1074.73;22
0.57;858.89;31.1137;858.89;31.1137;5.82498;76.5182;580.917;22
0.58;501.259;47.0391;501.259;47.0391;7.77025;2.91144;98.1105;18
0.59;442.657;34.1873;442.657;34.1873;3.62454;7.18621;225.685;20
0.6;709.475;39.9165;709.475;39.9165;7.91947;15.9206;227.253;20
0.61;577.875;38.8723;577.875;38.8723;6.11742;9.5653;200.421;20
0.62;799.978;20.2258;799.978;20.2258;2.29269;346.233;1969.66;23
0.63;739.576;36.0859;739.576;36.0859;6.74701;26.9996;320.628;22
0.64;304.807;34.5768;304.807;34.5768;2.55298;2.24229;150.211;15
0.65;985.436;45.4417;985.436;45.4417;14.2558;25.3995;213.941;21
0.66;905.562;15.5099;905.562;15.5099;1.52614;1452.35;4944.45;23
0.67;603.74;39.669;603.74;39.669;6.6559;10.0578;197.027;20
0.68;234.277;18.8046;234.277;18.8046;0.580382;11.6383;717.738;18
0.69;875.15;43.5628;875.15;43.5628;11.6351;21.064;215.658;21
0.7;567.639;20.8395;567.639;20.8395;1.72704;109.755;1277.74;22
0.71;335.936;13.6622;335.936;13.6622;0.43929;123.154;2683.66;21
0.72;691.535;49.7413;691.535;49.7413;11.9868;6.11408;114.47;17
0.73;695.517;49.6397;695.517;49.6397;12.0066;6.27141;115.838;17
0.74;935.608;46.9087;935.608;46.9087;14.423;19.1437;184.656;20
