Iteration,x0_start,Exp_start,Exp_end,Exp_f_calls,Fib_with_Exp_x,Fib_with_Exp_y,Fib_with_Exp_f_calls,Lag_with_Exp_x,Lag_with_Exp_y,Lag_with_Exp_f_calls,Fib_no_Exp_x,Fib_no_Exp_y,Fib_no_Exp_f_calls,Lag_no_Exp_x,Lag_no_Exp_y,Lag_no_Exp_f_calls
1,49.2615,59.9608,64.6685,17,62.7482,-0.921148,28,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
2,-49.1663,-10.8287,6.03985,24,-1.52551e-06,3.93864e-17,31,9.55028e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
3,-20.9354,-2.44693,5.68798,20,2.48894e-06,1.16739e-16,29,4.50656e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
4,22.9163,-3.70705,4.42785,21,-3.37645e-06,2.20851e-16,29,2.62034e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
5,17.2768,-4.90936,1.86973,20,-1.78625e-06,5.66565e-17,29,4.39646e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
6,-80.2339,-13.9866,15.1623,27,-3.01282e-06,1.74385e-16,32,3.16625e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
7,-67.8598,-12.6537,11.637,26,-1.92085e-07,-6.41923e-18,32,1.47726e-10,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
8,14.752,-3.73641,1.91284,19,4.33253e-07,-3.403e-18,29,3.77214e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
9,25.4531,-6.49494,3.26695,22,1.72171e-06,5.21283e-17,30,9.81835e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
10,-37.956,-6.00799,8.04913,23,-2.19697e-06,8.93766e-17,31,3.8661e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
11,-15.3448,-2.50557,3.14367,18,-2.98995e-06,1.71638e-16,29,2.51971e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
12,-65.695,-10.4889,13.8018,26,5.90796e-07,-1.76369e-19,32,6.26602e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
13,-19.0335,-3.62648,3.15261,19,4.93569e-07,-2.28496e-18,29,3.56779e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
14,21.2009,-5.4224,2.7125,21,3.56632e-06,2.47215e-16,29,6.44849e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
15,-66.7281,-11.5219,12.7688,26,1.66047e-07,-6.60573e-18,32,3.20966e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
16,-93.1766,-13.6797,21.2989,28,-4.95943e-06,4.84762e-16,32,3.50491e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
17,55.5321,61.7238,64.4482,14,62.7482,-0.921148,27,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
18,-15.4434,-2.60423,3.04501,18,2.16882e-07,-6.21641e-18,29,2.43285e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
19,91.1209,59.1729,68.9348,22,62.7482,-0.921148,30,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
20,82.2172,60.0311,66.8102,20,62.7482,-0.921148,29,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
21,10.9641,-1.87506,2.04803,17,-7.79241e-07,4.98718e-18,28,2.30641e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
22,73.5854,60.7462,64.6693,17,62.7482,-0.921148,28,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
23,10.1334,-2.7058,1.21728,17,2.48968e-06,1.16813e-16,28,2.87125e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
24,63.4746,62.2746,63.4746,4,62.7482,-0.921148,25,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
25,54.057,61.4871,64.7563,15,62.7482,-0.921148,28,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
26,40.9853,-5.01982,9.0373,24,-8.70933e-07,8.01334e-18,31,6.94024e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
27,76.7295,61.3225,66.0302,18,62.7482,-0.921148,28,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
28,86.466,59.8427,67.9776,21,62.7482,-0.921148,29,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
29,0.416695,-0.583305,1.4167,3,-1.87882e-06,6.3442e-17,27,2.38012e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
30,42.7366,-12.4696,4.39896,25,4.73211e-07,-2.67859e-18,31,3.65431e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
31,58.4214,62.0046,63.5812,11,62.7482,-0.921148,26,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
32,-50.3218,-11.9842,4.88434,24,-5.4791e-07,-1.15306e-18,31,4.97993e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
33,93.5703,55.2327,66.9469,23,62.7482,-0.921148,30,62.7482,-0.921148,9,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
34,-62.5139,-7.3078,16.9829,26,-1.32489e-06,2.79494e-17,32,6.79472e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
35,72.5945,59.7553,63.6784,17,62.7482,-0.921148,28,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
36,10.847,-1.99216,1.93092,17,-3.79887e-08,-7.1283e-18,28,2.31244e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
37,-42.7479,-4.41028,12.4583,24,-1.68812e-06,4.98382e-17,31,2.8539e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
38,-95.2653,-15.7685,19.2101,28,4.56429e-06,4.09497e-16,32,6.86614e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
39,-74.401,-8.15358,20.9953,27,-3.1034e-06,1.85465e-16,32,2.63891e-11,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
40,82.7052,60.5191,67.2982,20,62.7482,-0.921148,29,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
41,-33.2213,-6.598,5.11626,22,-3.76754e-06,2.76729e-16,30,1.96386e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
42,10.2543,-2.5849,1.33819,17,2.73802e-06,1.42778e-16,28,2.86682e-13,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
43,-82.9898,-16.7424,12.4064,27,1.48224e-06,3.67835e-17,32,8.80398e-10,-7.15715e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
44,47.7452,60.5843,66.2336,18,62.7482,-0.921148,29,62.7482,-0.921148,8,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
45,-68.5448,-13.3386,10.9521,26,-1.04367e-06,1.46279e-17,32,2.10203e-10,-7.15716e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
46,-49.7179,-11.3803,5.48824,24,2.14615e-07,-6.23598e-18,31,7.13711e-12,-7.15717e-18,5,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
47,54.5686,61.9986,65.2679,15,62.7482,-0.921148,28,62.7482,-0.921148,7,4.13945e-06,3.35543e-16,36,2.24381e-13,-7.15717e-18,6
