t,alpha,omega
0,0,0
0.1,0.00217528,0.0431269
0.2,0.00855058,0.0840099
0.3,0.0189044,0.122707
0.4,0.0330209,0.159275
0.5,0.0506903,0.193771
0.6,0.0717081,0.226255
0.7,0.095876,0.256782
0.8,0.123001,0.285411
0.9,0.152897,0.312197
1,0.185381,0.337198
1.1,0.220279,0.360469
1.2,0.257419,0.382067
1.3,0.296638,0.402046
1.4,0.337776,0.420461
1.5,0.38068,0.437366
1.6,0.425201,0.452814
1.7,0.471196,0.466858
1.8,0.518527,0.479549
1.9,0.567062,0.490939
2,0.616673,0.501079
2.1,0.667238,0.510016
2.2,0.718638,0.517801
2.3,0.770761,0.52448
2.4,0.823499,0.530101
2.5,0.876748,0.53471
2.6,0.930409,0.538351
2.7,0.984387,0.541068
2.8,1.03859,0.542905
2.9,1.09294,0.543903
3,1.14735,0.544104
3.1,1.20174,0.543548
3.2,1.25603,0.542274
3.3,1.31017,0.54032
3.4,1.36408,0.537723
3.5,1.41769,0.534519
3.6,1.47096,0.530744
3.7,1.52382,0.526431
3.8,1.57623,0.521615
3.9,1.62813,0.516325
4,1.67948,0.510595
4.1,1.73024,0.504455
4.2,1.78036,0.497932
4.3,1.82981,0.491057
4.4,1.87856,0.483855
4.5,1.92657,0.476354
4.6,1.97382,0.468579
4.7,2.02028,0.460555
4.8,2.06592,0.452305
4.9,2.11073,0.443851
5,2.15469,0.435217
5.1,2.19777,0.426422
5.2,2.23997,0.417487
5.3,2.28126,0.408432
5.4,2.32165,0.399275
5.5,2.36112,0.390034
5.6,2.39966,0.380725
5.7,2.43726,0.371365
5.8,2.47393,0.361969
5.9,2.50965,0.352552
6,2.54444,0.343128
6.1,2.57828,0.333711
6.2,2.61118,0.324312
6.3,2.64314,0.314944
6.4,2.67417,0.305619
6.5,2.70427,0.296346
6.6,2.73344,0.287136
6.7,2.7617,0.277998
6.8,2.78904,0.268942
6.9,2.81549,0.259975
7,2.84104,0.251106
7.1,2.86571,0.24234
7.2,2.88951,0.233687
7.3,2.91246,0.22515
7.4,2.93455,0.216738
7.5,2.95581,0.208453
7.6,2.97624,0.200302
7.7,2.99587,0.192289
7.8,3.01471,0.184418
7.9,3.03276,0.176693
8,3.05005,0.169116
8.1,3.06659,0.161691
8.2,3.08239,0.15442
8.3,3.09748,0.147305
8.4,3.11186,0.140348
8.5,3.12555,0.133552
8.6,3.13857,0.126916
8.7,3.15094,0.120442
8.8,3.16267,0.11413
8.9,3.17377,0.107982
9,3.18427,0.101997
9.1,3.19418,0.0961746
9.2,3.20351,0.0905155
9.3,3.21229,0.0850187
9.4,3.22052,0.0796837
9.5,3.22823,0.0745095
9.6,3.23543,0.0694951
9.7,3.24213,0.0646394
9.8,3.24836,0.0599408
9.9,3.25413,0.055398
10,3.25944,0.0510092
10.1,3.26433,0.0467727
10.2,3.2688,0.0426866
10.3,3.27288,0.0387489
10.4,3.27656,0.0349575
10.5,3.27987,0.0313101
10.6,3.28283,0.0278045
10.7,3.28544,0.0244383
10.8,3.28772,0.021209
10.9,3.28968,0.0181143
11,3.29135,0.0151514
11.1,3.29272,0.0123178
11.2,3.29381,0.00961087
11.3,3.29464,0.00702784
11.4,3.29522,0.00456601
11.5,3.29556,0.00222262
11.6,3.29567,-5.12167e-06
11.7,3.29556,-0.00212
11.8,3.29525,-0.00412484
11.9,3.29474,-0.00602246
12,3.29405,-0.00781568
12.1,3.29318,-0.00950734
12.2,3.29215,-0.0111002
12.3,3.29097,-0.0125972
12.4,3.28964,-0.0140011
12.5,3.28817,-0.0153146
12.6,3.28658,-0.0165406
12.7,3.28486,-0.0176817
12.8,3.28304,-0.0187408
12.9,3.28112,-0.0197204
13,3.2791,-0.0206234
13.1,3.277,-0.0214523
13.2,3.27481,-0.0222098
13.3,3.27256,-0.0228984
13.4,3.27023,-0.0235207
13.5,3.26785,-0.0240792
13.6,3.26542,-0.0245764
13.7,3.26294,-0.0250146
13.8,3.26042,-0.0253962
13.9,3.25786,-0.0257237
14,3.25528,-0.0259993
14.1,3.25267,-0.0262252
14.2,3.25003,-0.0264036
14.3,3.24739,-0.0265368
14.4,3.24473,-0.0266268
14.5,3.24206,-0.0266756
14.6,3.23939,-0.0266854
14.7,3.23673,-0.0266581
14.8,3.23406,-0.0265955
14.9,3.23141,-0.0264996
15,3.22876,-0.0263721
15.1,3.22613,-0.0262149
15.2,3.22352,-0.0260297
15.3,3.22093,-0.0258181
15.4,3.21836,-0.0255818
15.5,3.21581,-0.0253224
15.6,3.2133,-0.0250413
