Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
1,0.5,0.0918265,0.00795948,-8.76797e-07,-5.60796e-06,1.0259e-09,133,-2.45855e-07,-3.94358e-07,6.87672e-12,143
2,0.5,0.396293,-0.667937,0.774711,7.75946e-07,0.619837,144,0.774715,0.774711,1.23967,197
3,0.5,0.113743,-0.985713,4.34048e-06,-0.774714,0.619837,139,-4.50262e-06,-0.77472,0.619837,215
4,0.5,0.167279,-0.953328,-3.56735e-06,-0.774709,0.619837,174,-3.92209e-07,-0.774719,0.619837,225
5,0.5,0.0129533,0.268373,-1.45425e-06,0.774721,0.619837,131,6.73116e-07,0.774714,0.619837,171
6,0.5,0.236922,0.339836,0.774718,0.774711,1.23967,158,0.774715,0.774712,1.23967,223
7,0.5,-0.657542,-0.301167,0.774709,0.774715,1.23967,169,7.27195e-07,-1.02107e-05,3.3367e-09,251
8,0.5,0.0857663,0.813837,-3.32245e-06,0.774714,0.619837,131,-2.23431e-07,0.774716,0.619837,137
9,0.5,-0.908191,0.374362,-3.61721e-06,0.774722,0.619837,145,-0.774715,0.774712,1.23967,185
10,0.5,0.648032,0.211674,6.70908e-06,0.774723,0.619837,160,0.774716,0.774715,1.23967,169
11,0.5,0.753728,-0.935722,0.774708,-0.774711,1.23967,160,0.774713,-0.774715,1.23967,127
12,0.5,-0.942821,0.424642,-0.774715,0.774709,1.23967,168,-0.774714,-0.774717,1.23967,225
13,0.5,-0.542538,-0.941824,3.02887e-06,-0.77471,0.619837,151,-8.77798e-06,-0.774726,0.619837,159
14,0.5,0.223345,-0.669777,0.774721,7.07821e-06,0.619837,172,0.774716,0.774714,1.23967,205
15,0.5,-0.815424,0.044673,-0.774713,-4.72132e-06,0.619837,137,-0.774717,-1.34991e-06,0.619837,161
16,0.5,0.898737,0.276403,-6.05644e-06,0.774709,0.619837,154,0.774727,0.774714,1.23967,155
17,0.5,-0.947368,0.29503,-0.774714,0.77472,1.23967,159,-0.774719,0.774713,1.23967,177
18,0.5,0.608465,0.166376,5.75073e-06,-5.98972e-06,2.19547e-09,169,0.774728,-8.26211e-07,0.619837,145
19,0.5,0.309317,-0.224256,0.77471,-0.774717,1.23967,153,0.774717,1.76028e-06,0.619837,195
20,0.5,0.213047,-0.67773,0.774708,4.66142e-06,0.619837,160,0.774719,0.774715,1.23967,177
21,0.5,-0.955883,-0.550031,-0.774716,2.59115e-06,0.619837,160,-0.774713,6.63923e-07,0.619837,261
22,0.5,0.662106,-0.613425,-3.48517e-06,-6.87298e-06,1.89094e-09,161,0.774706,5.25331e-06,0.619837,165
23,0.5,0.148802,-0.252128,-1.54919e-06,0.774712,0.619837,157,-3.22809e-06,3.83055e-06,7.99046e-10,137
24,0.5,-0.799588,0.240611,-0.774716,0.774714,1.23967,153,-0.774715,0.77472,1.23967,153
25,0.5,-0.877766,0.848444,-0.774723,0.774714,1.23967,146,-0.774712,0.774716,1.23967,205
26,0.5,-0.547715,0.875962,-1.22262e-06,0.77472,0.619837,153,-2.99789e-06,0.77471,0.619837,221
27,0.5,0.912722,-0.490537,2.27146e-06,2.91248e-06,4.34398e-10,167,0.774723,-2.47087e-06,0.619837,93
28,0.5,0.300604,-0.629816,0.774709,5.2994e-06,0.619837,152,0.774714,1.78488e-06,0.619837,189
29,0.5,-0.432361,-0.476052,-3.02095e-06,7.4471e-06,2.05656e-09,152,2.12617e-06,-8.86088e-07,1.68949e-10,165
30,0.5,-0.299594,-0.247785,0.774716,-0.774716,1.23967,156,0.774715,-4.35261e-06,0.619837,197
31,0.5,0.568622,-0.400857,2.72578e-06,6.32023e-06,1.50855e-09,144,0.774718,-4.79755e-06,0.619837,185
32,0.5,-0.971382,0.621254,-0.774711,-7.60443e-06,0.619837,177,-0.774717,0.774723,1.23967,147
33,0.5,0.894172,0.637083,0.774711,-1.70356e-06,0.619837,154,0.77471,0.77472,1.23967,151
34,0.5,-0.21237,0.203489,-0.774718,0.774717,1.23967,138,5.24907e-06,0.774718,0.619837,145
35,0.5,-0.587173,-0.999323,4.77961e-07,5.92228e-06,1.1241e-09,162,5.55519e-07,0.774722,0.619837,195
36,0.5,0.52576,-0.543056,2.74066e-06,4.19955e-06,8.00757e-10,145,0.774715,-2.27528e-06,0.619837,199
37,0.5,-0.549354,0.187865,-6.74536e-06,0.774718,0.619837,159,4.53608e-06,0.774718,0.619837,133
38,0.5,-0.156482,0.599448,-2.6725e-06,6.96424e-06,1.77181e-09,161,-1.70399e-07,0.774715,0.619837,187
39,0.5,0.935738,0.0439304,0.774712,3.9071e-07,0.619837,138,0.774713,3.0494e-06,0.619837,203
40,0.5,-0.159941,-0.942028,1.79691e-06,-0.774716,0.619837,166,4.11599e-06,-0.774713,0.619837,263
41,0.5,-0.107625,0.292344,-5.09578e-06,0.77472,0.619837,137,-1.74156e-06,0.774715,0.619837,165
42,0.5,0.933933,-0.194903,0.774723,-0.774722,1.23967,169,0.774714,3.26201e-06,0.619837,275
43,0.5,0.801807,0.234537,0.774723,0.774713,1.23967,160,0.77472,0.774717,1.23967,219
44,0.5,0.17528,-0.630554,2.47414e-06,4.65833e-07,2.0183e-10,167,-4.01081e-08,-1.41402e-06,6.3719e-11,151
45,0.5,0.758486,0.875686,0.774721,0.774719,1.23967,130,0.774719,0.774718,1.23967,221
46,0.5,0.121662,0.327107,3.29647e-06,0.774708,0.619837,168,4.75482e-06,0.774718,0.619837,143
47,0.5,-0.525171,0.15028,5.91319e-06,-4.15689e-06,1.66363e-09,138,3.22819e-06,1.99891e-07,3.33111e-10,185
48,0.5,-0.051639,-0.630999,-3.24894e-06,-2.12324e-06,4.79669e-10,161,6.21128e-06,-4.72125e-06,1.93826e-09,167
49,0.5,-0.212637,0.735991,-0.77471,0.774718,1.23967,131,1.26054e-05,0.774718,0.619837,175
50,0.5,0.57249,0.20019,-4.044e-06,0.774714,0.619837,160,0.774718,0.774713,1.23967,243
51,0.5,0.736668,0.09825,0.774708,-1.30334e-06,0.619837,153,0.774717,-6.81945e-06,0.619837,173
52,0.5,0.657134,-0.812686,-1.18294e-06,-0.774722,0.619837,139,0.774717,-0.774714,1.23967,277
53,0.5,-0.713884,-0.499348,-0.774721,-3.85637e-06,0.619837,138,-0.774713,9.96654e-07,0.619837,261
54,0.5,0.786763,-0.778147,0.774709,-0.774714,1.23967,124,0.774711,-0.774719,1.23967,219
55,0.5,0.544583,-0.373178,-3.46473e-06,6.35098e-06,1.66662e-09,161,0.774717,-6.0626e-06,0.619837,259
56,0.5,-0.720175,-0.563043,-0.77471,6.69734e-06,0.619837,146,-0.774719,-3.41536e-06,0.619837,279
57,0.5,0.919166,-0.786242,6.92528e-06,-0.774721,0.619837,168,-0.774715,-0.774717,1.23967,223
58,0.5,0.242054,0.720973,0.774723,0.774714,1.23967,145,0.774712,0.774721,1.23967,197
59,0.5,0.448295,-0.582666,0.774712,6.3453e-06,0.619837,166,0.774717,3.91752e-06,0.619837,219
60,0.5,-0.909581,0.206781,-4.38183e-06,0.774713,0.619837,166,-0.774713,0.774717,1.23967,123
61,0.5,-0.70698,0.212081,-0.774713,0.774718,1.23967,144,-0.774716,0.774715,1.23967,215
