t,x,vx,y,vy
0,0,-0.080921,100,0
0.01,-0.000809026,-0.0808664,99.9995,-0.0980115
0.02,-0.00161697,-0.0807054,99.998,-0.196019
0.03,-0.00242278,-0.080438,99.9956,-0.294019
0.04,-0.00322538,-0.0800642,99.9922,-0.392006
0.05,-0.00402371,-0.0795841,99.9877,-0.489978
0.06,-0.00481671,-0.0789976,99.9824,-0.58793
0.07,-0.00560331,-0.0783048,99.976,-0.685858
0.08,-0.00638245,-0.0775057,99.9686,-0.783759
0.09,-0.00715307,-0.0766003,99.9603,-0.881627
0.1,-0.0079141,-0.0755888,99.951,-0.97946
0.11,-0.00866449,-0.074471,99.9407,-1.07725
0.12,-0.00940317,-0.0732472,99.9295,-1.175
0.13,-0.0101291,-0.0719173,99.9172,-1.27271
0.14,-0.0108412,-0.0704814,99.904,-1.37036
0.15,-0.0115384,-0.0689395,99.8898,-1.46795
0.16,-0.0122196,-0.0672918,99.8747,-1.56549
0.17,-0.0128838,-0.0655382,99.8585,-1.66296
0.18,-0.01353,-0.0636789,99.8414,-1.76037
0.19,-0.0141571,-0.0617139,99.8233,-1.85771
0.2,-0.0147639,-0.0596433,99.8042,-1.95497
0.21,-0.0153496,-0.0574673,99.7842,-2.05215
0.22,-0.0159129,-0.0551858,99.7632,-2.14925
0.23,-0.0164529,-0.052799,99.7412,-2.24627
0.24,-0.0169686,-0.050307,99.7183,-2.34319
0.25,-0.0174587,-0.0477098,99.6944,-2.44002
0.26,-0.0179224,-0.0450076,99.6695,-2.53675
0.27,-0.0183585,-0.0422005,99.6436,-2.63338
0.28,-0.0187661,-0.0392886,99.6168,-2.72991
0.29,-0.019144,-0.036272,99.589,-2.82633
0.3,-0.0194912,-0.0331508,99.5603,-2.92263
0.31,-0.0198066,-0.0299251,99.5306,-3.01882
0.32,-0.0200893,-0.0265952,99.4999,-3.11489
0.33,-0.0203382,-0.023161,99.4683,-3.21084
0.34,-0.0205522,-0.0196227,99.4357,-3.30666
0.35,-0.0207303,-0.0159806,99.4021,-3.40234
0.36,-0.0208714,-0.0122346,99.3676,-3.4979
0.37,-0.0209746,-0.00838499,99.3322,-3.59331
0.38,-0.0210388,-0.00443187,99.2958,-3.68859
0.39,-0.0210629,-0.000375387,99.2584,-3.78372
0.4,-0.021046,0.0037843,99.2201,-3.8787
0.41,-0.0209869,0.00804701,99.1808,-3.97353
0.42,-0.0208847,0.0124126,99.1406,-4.0682
0.43,-0.0207383,0.0168808,99.0995,-4.16271
0.44,-0.0205467,0.0214516,99.0574,-4.25707
0.45,-0.0203089,0.0261247,99.0143,-4.35125
0.46,-0.0200239,0.0308999,98.9704,-4.44527
0.47,-0.0196906,0.035777,98.9254,-4.53912
0.48,-0.019308,0.0407558,98.8796,-4.63279
0.49,-0.0188751,0.0458361,98.8328,-4.72628
0.5,-0.018391,0.0510178,98.785,-4.81959
0.51,-0.0178544,0.0563005,98.7364,-4.91271
0.52,-0.0172646,0.0616841,98.6868,-5.00564
0.53,-0.0166204,0.0671684,98.6363,-5.09839
0.54,-0.0159209,0.0727531,98.5848,-5.19093
0.55,-0.015165,0.078438,98.5325,-5.28329
0.56,-0.0143518,0.0842229,98.4792,-5.37543
0.57,-0.0134802,0.0901075,98.4249,-5.46738
0.58,-0.0125493,0.0960916,98.3698,-5.55912
0.59,-0.0115581,0.102175,98.3138,-5.65065
0.6,-0.0105055,0.108357,98.2568,-5.74196
0.61,-0.0093906,0.114638,98.1989,-5.83306
0.62,-0.0082124,0.121018,98.1401,-5.92394
0.63,-0.00696992,0.127496,98.0804,-6.0146
0.64,-0.00566216,0.134071,98.0198,-6.10503
