Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Zewnetrzna,4,1,1.97974,1.48375,2.89121,2.76435,-0.189211,950,4.00009
Zewnetrzna,4,2,-0.19439,0.0555272,2.25163,3.30606,-0.189199,1210,3.99998
Zewnetrzna,4,3,-2.47516,3.38959,2.8361,2.82019,-0.189156,870,3.99962
Zewnetrzna,4,4,-3.86078,-0.16088,3.45361,2.01808,-0.189202,1110,4.00001
Zewnetrzna,4,5,1.40689,1.5269,2.06584,3.42518,-0.189194,1135,3.99994
Zewnetrzna,4,6,-1.38064,2.44675,2.86676,2.78958,-0.189202,950,4.00001
Zewnetrzna,4,7,3.33456,-1.8979,2.86455,2.79186,-0.189202,935,4.00001
Zewnetrzna,4,8,0.397924,0.111177,2.85787,2.79869,-0.189202,920,4.00001
Zewnetrzna,4,9,-2.85768,0.717669,3.44715,2.02908,-0.189201,1235,4
Zewnetrzna,4,10,1.31199,-2.12877,2.8375,2.81934,-0.189202,925,4.00001
Zewnetrzna,4,11,-1.78917,-0.969717,3.4304,2.05732,-0.189204,1130,4.00003
Zewnetrzna,4,12,-2.71989,-0.980904,3.56752,1.80905,-0.189198,1280,3.99998
Zewnetrzna,4,13,0.610034,2.89722,2.04194,3.43965,-0.189211,940,4.00009
Zewnetrzna,4,14,2.32293,-3.59463,1.81035,3.56686,-0.189199,1405,3.99998
Zewnetrzna,4,15,-3.06112,-1.60065,3.43288,2.05331,-0.189211,935,4.00009
Zewnetrzna,4,16,-2.3642,2.91862,2.81066,2.8461,-0.189202,905,4.00001
Zewnetrzna,4,17,3.8831,1.44141,2.9714,2.67784,-0.189201,1210,4
Zewnetrzna,4,18,-1.02585,-2.59206,1.82451,3.55966,-0.189201,1125,4
Zewnetrzna,4,19,0.831002,-0.88663,2.79187,2.86465,-0.189211,915,4.00009
Zewnetrzna,4,20,1.24706,-1.76211,2.91182,2.74252,-0.189202,935,4.00001
Zewnetrzna,4,21,-3.35973,3.86643,2.86795,2.78836,-0.189202,950,4.00001
Zewnetrzna,4,22,-3.31535,3.97483,2.75681,2.89828,-0.189201,930,4
Zewnetrzna,4,23,-2.03148,1.08257,3.42422,2.06743,-0.189194,1150,3.99994
Zewnetrzna,4,24,0.0860086,-0.889158,1.81788,3.56305,-0.189201,1515,4
Zewnetrzna,4,25,-2.19976,-2.602,2.83012,2.8262,-0.189156,800,3.99962
Zewnetrzna,4,26,0.982075,0.0110734,2.8047,2.85197,-0.189202,925,4.00001
Zewnetrzna,4,27,0.428283,2.26219,2.17417,3.35739,-0.189187,1090,3.99988
Zewnetrzna,4,28,3.03017,-2.96168,2.23677,3.31619,-0.189205,880,4.00003
Zewnetrzna,4,29,1.15941,1.3531,2.63567,3.00885,-0.1892,1335,4
Zewnetrzna,4,30,-2.55631,2.09829,2.76141,2.8939,-0.189202,935,4.00001
Zewnetrzna,4,31,3.75245,-0.920508,2.6333,3.01093,-0.1892,1360,4
Zewnetrzna,4,32,1.01691,3.63555,2.8251,2.83177,-0.189202,920,4.00001
Zewnetrzna,4,33,-3.4791,3.99105,2.84573,2.81091,-0.189192,945,3.99993
Zewnetrzna,4,34,-2.95651,1.35191,2.71745,2.93534,-0.189211,885,4.00009
Zewnetrzna,4,35,-0.895576,2.29056,2.89827,2.75683,-0.189202,950,4.00001
Zewnetrzna,4,36,3.5898,-0.255305,3.29258,2.27135,-0.189203,1040,4.00002
Zewnetrzna,4,37,2.15698,-3.72555,2.01654,3.4545,-0.1892,1320,4
Zewnetrzna,4,38,-0.280473,-3.8745,2.40303,3.19775,-0.189203,1125,4.00002
Zewnetrzna,4,39,1.35702,3.80554,2.02452,3.44983,-0.1892,1210,4
Zewnetrzna,4,40,-0.763656,3.15726,2.62458,3.01854,-0.189201,1420,4
Zewnetrzna,4,41,-2.79646,-3.78158,2.04191,3.43958,-0.189203,1160,4.00002
Zewnetrzna,4,42,-0.83167,1.63182,2.67902,2.97033,-0.189201,1245,4
Zewnetrzna,4,43,2.48061,-1.8015,3.22843,2.36162,-0.189201,1160,4
Zewnetrzna,4,44,2.67014,-0.359983,2.81052,2.84624,-0.189202,910,4.00001
Zewnetrzna,4,45,3.5516,-3.88617,3.54813,1.84682,-0.189201,1315,4
Zewnetrzna,4,46,-2.26169,3.30404,2.82371,2.8326,-0.189156,875,3.99962
Zewnetrzna,4,47,-0.80668,2.75521,2.80946,2.84672,-0.189155,840,3.99961
Zewnetrzna,4,48,2.93959,-0.285776,2.73761,2.91643,-0.189201,880,4.00001
Zewnetrzna,4,49,2.74627,3.98309,3.1239,2.49825,-0.189201,1185,4
Zewnetrzna,4,50,-2.93387,-2.14931,3.43611,2.0479,-0.189211,1025,4.00009
Zewnetrzna,4,51,2.27364,-3.34407,1.49349,3.71074,-0.189202,1050,4.00002
Zewnetrzna,4,52,1.59539,0.430622,3.29088,2.27375,-0.189198,1265,3.99998
Zewnetrzna,4,53,-3.06962,-2.68509,2.84948,2.80666,-0.189155,815,3.99961
Zewnetrzna,4,54,0.556123,2.28739,2.25298,3.30513,-0.189198,1245,3.99998
Zewnetrzna,4,55,-2.87955,3.79247,2.60567,3.03487,-0.189199,1285,3.99999
Zewnetrzna,4,56,1.44465,-1.67602,2.83456,2.82174,-0.189156,835,3.99962
Zewnetrzna,4,57,-3.98911,-3.38702,3.71406,1.4852,-0.189202,1080,4.00001
Zewnetrzna,4,58,3.9558,2.49149,2.84272,2.81397,-0.189193,895,3.99993
