t,VA,VB,TB
0,5,1,20
100,4.16714,1.66788,44.5844
200,3.41011,2.05459,49.1808
300,2.72891,2.26253,49.7637
400,2.12352,2.34692,48.9592
500,1.59397,2.34307,47.4631
600,1.14024,2.27565,45.5015
700,0.762337,2.16277,43.1433
800,0.460274,2.01824,40.3897
900,0.234077,1.85273,37.2032
1000,0.0839111,1.67452,33.5104
1100,0.0140897,1.48589,29.0161
1200,-0.00902238,1.32415,25.0616
1300,-0.00902238,1.20238,22.2965
1400,-0.00902238,1.1251,20.9777
1500,-0.00902238,1.0768,20.3978
1600,-0.00902238,1.04694,20.1571
1700,-0.00902238,1.02861,20.0608
1800,-0.00902238,1.01741,20.0233
1900,-0.00902238,1.01058,20.0088
2000,-0.00902238,1.00643,20.0033
