t,alpha,omega
0,0,0
0.1,0.00217529,0.0431271
0.2,0.00855062,0.0840103
0.3,0.0189045,0.122707
0.4,0.0330211,0.159275
0.5,0.0506905,0.193772
0.6,0.0717085,0.226256
0.7,0.0958765,0.256783
0.8,0.123002,0.285412
0.9,0.152897,0.312198
1,0.185382,0.337199
1.1,0.22028,0.360471
1.2,0.25742,0.382068
1.3,0.296639,0.402047
1.4,0.337778,0.420462
1.5,0.380681,0.437367
1.6,0.425203,0.452815
1.7,0.471198,0.466859
1.8,0.518529,0.479551
1.9,0.567065,0.490941
2,0.616676,0.50108
2.1,0.66724,0.510018
2.2,0.718641,0.517802
2.3,0.770764,0.524482
2.4,0.823502,0.530103
2.5,0.876751,0.534711
2.6,0.930412,0.538352
2.7,0.98439,0.541069
2.8,1.0386,0.542906
2.9,1.09294,0.543904
3,1.14735,0.544105
3.1,1.20174,0.543549
3.2,1.25604,0.542275
3.3,1.31017,0.540321
3.4,1.36408,0.537724
3.5,1.4177,0.53452
3.6,1.47096,0.530745
3.7,1.52383,0.526432
3.8,1.57623,0.521615
3.9,1.62813,0.516326
4,1.67948,0.510595
4.1,1.73024,0.504454
4.2,1.78036,0.497932
4.3,1.82981,0.491056
4.4,1.87856,0.483855
4.5,1.92658,0.476354
4.6,1.97382,0.468579
4.7,2.02028,0.460554
4.8,2.06593,0.452304
4.9,2.11074,0.443851
5,2.15469,0.435216
5.1,2.19777,0.426421
5.2,2.23997,0.417487
5.3,2.28127,0.408431
5.4,2.32165,0.399274
5.5,2.36112,0.390033
5.6,2.39966,0.380724
5.7,2.43726,0.371364
5.8,2.47393,0.361968
5.9,2.50966,0.352551
6,2.54444,0.343127
6.1,2.57828,0.33371
6.2,2.61118,0.324311
6.3,2.64315,0.314943
6.4,2.67417,0.305618
6.5,2.70427,0.296345
6.6,2.73344,0.287135
6.7,2.7617,0.277997
6.8,2.78905,0.268941
6.9,2.81549,0.259974
7,2.84104,0.251104
7.1,2.86572,0.242339
7.2,2.88952,0.233685
7.3,2.91246,0.225149
7.4,2.93455,0.216736
7.5,2.95581,0.208452
7.6,2.97624,0.200301
7.7,2.99587,0.192288
7.8,3.01471,0.184417
7.9,3.03276,0.176692
8,3.05005,0.169115
8.1,3.06659,0.16169
8.2,3.08239,0.154419
8.3,3.09748,0.147304
8.4,3.11186,0.140347
8.5,3.12555,0.133551
8.6,3.13857,0.126915
8.7,3.15094,0.120441
8.8,3.16267,0.114129
8.9,3.17377,0.107981
9,3.18427,0.101996
9.1,3.19418,0.0961738
9.2,3.20351,0.0905146
9.3,3.21229,0.0850179
9.4,3.22052,0.0796829
9.5,3.22823,0.0745087
9.6,3.23543,0.0694944
9.7,3.24213,0.0646386
9.8,3.24836,0.0599401
9.9,3.25412,0.0553973
10,3.25944,0.0510086
10.1,3.26433,0.0467721
10.2,3.2688,0.042686
10.3,3.27287,0.0387484
10.4,3.27656,0.0349569
10.5,3.27987,0.0313096
10.6,3.28282,0.027804
10.7,3.28544,0.0244378
10.8,3.28772,0.0212086
10.9,3.28968,0.0181139
11,3.29134,0.0151511
11.1,3.29272,0.0123175
11.2,3.29381,0.00961057
11.3,3.29464,0.00702757
11.4,3.29522,0.00456577
11.5,3.29556,0.0022224
11.6,3.29567,-5.3087e-06
11.7,3.29556,-0.00212016
11.8,3.29525,-0.00412498
11.9,3.29474,-0.00602257
12,3.29405,-0.00781577
12.1,3.29318,-0.00950741
12.2,3.29215,-0.0111003
12.3,3.29096,-0.0125973
12.4,3.28963,-0.0140011
12.5,3.28817,-0.0153146
12.6,3.28657,-0.0165405
12.7,3.28486,-0.0176816
12.8,3.28304,-0.0187407
12.9,3.28112,-0.0197203
13,3.2791,-0.0206233
13.1,3.27699,-0.0214522
13.2,3.27481,-0.0222097
13.3,3.27255,-0.0228983
13.4,3.27023,-0.0235206
13.5,3.26785,-0.024079
13.6,3.26542,-0.0245762
13.7,3.26294,-0.0250143
13.8,3.26042,-0.025396
13.9,3.25786,-0.0257235
14,3.25527,-0.025999
14.1,3.25266,-0.0262249
14.2,3.25003,-0.0264034
14.3,3.24738,-0.0265365
14.4,3.24473,-0.0266265
14.5,3.24206,-0.0266754
14.6,3.23939,-0.0266851
14.7,3.23672,-0.0266578
14.8,3.23406,-0.0265952
14.9,3.23141,-0.0264993
15,3.22876,-0.0263718
15.1,3.22613,-0.0262146
15.2,3.22352,-0.0260294
15.3,3.22093,-0.0258178
15.4,3.21836,-0.0255815
15.5,3.21581,-0.025322
15.6,3.21329,-0.025041
15.7,3.21081,-0.0247397
15.8,3.20835,-0.0244198
15.9,3.20592,-0.0240826
16,3.20353,-0.0237293
16.1,3.20118,-0.0233614
16.2,3.19886,-0.0229801
16.3,3.19658,-0.0225865
16.4,3.19434,-0.0221818
16.5,3.19214,-0.0217672
16.6,3.18999,-0.0213437
16.7,3.18788,-0.0209124
16.8,3.18581,-0.0204742
16.9,3.18378,-0.0200301
17,3.1818,-0.0195809
17.1,3.17987,-0.0191277
17.2,3.17798,-0.0186711
17.3,3.17613,-0.0182121
17.4,3.17433,-0.0177513
17.5,3.17258,-0.0172894
17.6,3.17088,-0.0168272
17.7,3.16922,-0.0163654
17.8,3.1676,-0.0159044
17.9,3.16603,-0.015445
18,3.16451,-0.0149876
18.1,3.16304,-0.0145329
18.2,3.16161,-0.0140812
18.3,3.16022,-0.013633
18.4,3.15888,-0.0131889
18.5,3.15758,-0.0127491
18.6,3.15633,-0.0123141
18.7,3.15512,-0.0118843
18.8,3.15395,-0.0114599
18.9,3.15283,-0.0110412
19,3.15174,-0.0106286
19.1,3.1507,-0.0102223
19.2,3.1497,-0.00982261
19.3,3.14874,-0.00942964
19.4,3.14781,-0.00904363
19.5,3.14693,-0.00866476
19.6,3.14608,-0.00829318
19.7,3.14527,-0.00792904
19.8,3.14449,-0.00757245
19.9,3.14375,-0.00722354
20,3.14305,-0.00688238
20.1,3.14238,-0.00654906
20.2,3.14174,-0.00622363
20.3,3.14113,-0.00590614
20.4,3.14056,-0.00559662
20.5,3.14001,-0.0052951
20.6,3.1395,-0.00500158
20.7,3.13901,-0.00471606
20.8,3.13855,-0.00443854
20.9,3.13812,-0.00416897
21,3.13772,-0.00390734
21.1,3.13734,-0.0036536
21.2,3.13699,-0.0034077
21.3,3.13666,-0.00316957
21.4,3.13636,-0.00293915
21.5,3.13607,-0.00271637
21.6,3.13581,-0.00250115
21.7,3.13557,-0.0022934
21.8,3.13535,-0.00209302
21.9,3.13515,-0.00189991
22,3.13497,-0.00171398
22.1,3.13481,-0.00153512
22.2,3.13467,-0.00136321
22.3,3.13454,-0.00119814
22.4,3.13443,-0.00103978
22.5,3.13433,-0.000888016
22.6,3.13425,-0.000742722
22.7,3.13418,-0.000603768
22.8,3.13413,-0.000471025
22.9,3.13409,-0.000344358
23,3.13406,-0.000223636
23.1,3.13404,-0.000108722
23.2,3.13404,5.20687e-07
23.3,3.13404,0.000104228
23.4,3.13406,0.00020254
23.5,3.13408,0.000295593
23.6,3.13412,0.000383526
23.7,3.13416,0.000466479
23.8,3.13421,0.000544589
23.9,3.13427,0.000617994
24,3.13433,0.000686833
24.1,3.1344,0.000751242
24.2,3.13448,0.000811356
24.3,3.13457,0.000867311
24.4,3.13466,0.000919241
24.5,3.13475,0.000967279
24.6,3.13485,0.00101155
24.7,3.13495,0.0010522
24.8,3.13506,0.00108934
24.9,3.13517,0.0011231
25,3.13528,0.00115362
25.1,3.1354,0.001181
25.2,3.13552,0.00120537
25.3,3.13564,0.00122685
25.4,3.13577,0.00124557
25.5,3.13589,0.00126162
25.6,3.13602,0.00127513
25.7,3.13615,0.0012862
25.8,3.13627,0.00129495
25.9,3.1364,0.00130147
26,3.13653,0.00130588
26.1,3.13667,0.00130827
26.2,3.1368,0.00130875
26.3,3.13693,0.0013074
26.4,3.13706,0.00130433
26.5,3.13719,0.00129962
26.6,3.13732,0.00129336
26.7,3.13745,0.00128565
26.8,3.13757,0.00127656
26.9,3.1377,0.00126618
27,3.13783,0.00125459
27.1,3.13795,0.00124186
27.2,3.13808,0.00122808
27.3,3.1382,0.0012133
27.4,3.13832,0.00119761
27.5,3.13844,0.00118107
27.6,3.13856,0.00116374
27.7,3.13867,0.00114569
27.8,3.13878,0.00112699
27.9,3.1389,0.00110769
28,3.13901,0.00108784
28.1,3.13911,0.0010675
28.2,3.13922,0.00104673
28.3,3.13932,0.00102558
28.4,3.13942,0.00100408
28.5,3.13952,0.000982302
28.6,3.13962,0.000960275
28.7,3.13972,0.000938045
28.8,3.13981,0.000915653
28.9,3.1399,0.000893139
29,3.13999,0.000870538
29.1,3.14007,0.000847888
29.2,3.14016,0.000825221
29.3,3.14024,0.000802569
29.4,3.14032,0.000779962
29.5,3.14039,0.00075743
29.6,3.14047,0.000734999
29.7,3.14054,0.000712696
29.8,3.14061,0.000690544
29.9,3.14068,0.000668566
30,3.14074,0.000646783
30.1,3.14081,0.000625216
30.2,3.14087,0.000603883
30.3,3.14093,0.000582801
30.4,3.14099,0.000561988
30.5,3.14104,0.000541457
30.6,3.14109,0.000521222
30.7,3.14115,0.000501297
30.8,3.1412,0.000481694
30.9,3.14124,0.000462421
31,3.14129,0.000443491
31.1,3.14133,0.00042491
31.2,3.14137,0.000406687
31.3,3.14141,0.000388829
31.4,3.14145,0.000371342
31.5,3.14149,0.00035423
31.6,3.14152,0.0003375
31.7,3.14155,0.000321153
31.8,3.14159,0.000305193
31.9,3.14162,0.000289623
32,3.14164,0.000274444
32.1,3.14167,0.000259657
32.2,3.1417,0.000245263
32.3,3.14172,0.000231261
32.4,3.14174,0.000217651
32.5,3.14176,0.000204432
32.6,3.14178,0.000191601
32.7,3.1418,0.000179158
32.8,3.14182,0.000167098
32.9,3.14183,0.00015542
33,3.14185,0.000144121
33.1,3.14186,0.000133196
33.2,3.14188,0.000122641
33.3,3.14189,0.000112453
33.4,3.1419,0.000102626
33.5,3.14191,9.31568e-05
33.6,3.14192,8.40389e-05
33.7,3.14193,7.52676e-05
33.8,3.14193,6.68372e-05
33.9,3.14194,5.87421e-05
34,3.14194,5.09764e-05
34.1,3.14195,4.35341e-05
34.2,3.14195,3.64091e-05
34.3,3.14196,2.9595e-05
34.4,3.14196,2.30854e-05
34.5,3.14196,1.68739e-05
34.6,3.14196,1.09539e-05
34.7,3.14196,5.31871e-06
34.8,3.14196,-3.83025e-08
34.9,3.14196,-5.1239e-06
35,3.14196,-9.94485e-06
35.1,3.14196,-1.45079e-05
35.2,3.14196,-1.88199e-05
35.3,3.14196,-2.28877e-05
35.4,3.14195,-2.67179e-05
35.5,3.14195,-3.03175e-05
35.6,3.14195,-3.36931e-05
35.7,3.14195,-3.68514e-05
35.8,3.14194,-3.97992e-05
35.9,3.14194,-4.2543e-05
36,3.14193,-4.50893e-05
36.1,3.14193,-4.74448e-05
36.2,3.14192,-4.96159e-05
36.3,3.14192,-5.16088e-05
36.4,3.14191,-5.34299e-05
36.5,3.14191,-5.50854e-05
36.6,3.1419,-5.65815e-05
36.7,3.1419,-5.7924e-05
36.8,3.14189,-5.9119e-05
36.9,3.14188,-6.01724e-05
37,3.14188,-6.10897e-05
37.1,3.14187,-6.18767e-05
37.2,3.14187,-6.25389e-05
37.3,3.14186,-6.30817e-05
37.4,3.14185,-6.35104e-05
37.5,3.14185,-6.38301e-05
37.6,3.14184,-6.40461e-05
37.7,3.14183,-6.41631e-05
37.8,3.14183,-6.41862e-05
37.9,3.14182,-6.41199e-05
38,3.14182,-6.3969e-05
38.1,3.14181,-6.37379e-05
38.2,3.1418,-6.3431e-05
38.3,3.1418,-6.30526e-05
38.4,3.14179,-6.26067e-05
38.5,3.14178,-6.20975e-05
38.6,3.14178,-6.15288e-05
38.7,3.14177,-6.09045e-05
38.8,3.14177,-6.02281e-05
38.9,3.14176,-5.95034e-05
39,3.14175,-5.87336e-05
39.1,3.14175,-5.79223e-05
39.2,3.14174,-5.70724e-05
39.3,3.14174,-5.61873e-05
39.4,3.14173,-5.52699e-05
39.5,3.14172,-5.43231e-05
39.6,3.14172,-5.33496e-05
39.7,3.14171,-5.23522e-05
39.8,3.14171,-5.13335e-05
39.9,3.1417,-5.02959e-05
40,3.1417,-4.92418e-05
40.1,3.14169,-4.81735e-05
40.2,3.14169,-4.70931e-05
40.3,3.14168,-4.60029e-05
40.4,3.14168,-4.49047e-05
40.5,3.14168,-4.38005e-05
40.6,3.14167,-4.2692e-05
40.7,3.14167,-4.15812e-05
40.8,3.14166,-4.04695e-05
40.9,3.14166,-3.93585e-05
41,3.14166,-3.82498e-05
41.1,3.14165,-3.71448e-05
41.2,3.14165,-3.60447e-05
41.3,3.14164,-3.49509e-05
41.4,3.14164,-3.38644e-05
41.5,3.14164,-3.27866e-05
41.6,3.14163,-3.17183e-05
41.7,3.14163,-3.06606e-05
41.8,3.14163,-2.96143e-05
41.9,3.14163,-2.85804e-05
42,3.14162,-2.75597e-05
42.1,3.14162,-2.65528e-05
42.2,3.14162,-2.55605e-05
42.3,3.14161,-2.45833e-05
42.4,3.14161,-2.36219e-05
42.5,3.14161,-2.26767e-05
42.6,3.14161,-2.17483e-05
42.7,3.14161,-2.08371e-05
42.8,3.1416,-1.99434e-05
42.9,3.1416,-1.90676e-05
43,3.1416,-1.821e-05
43.1,3.1416,-1.73709e-05
43.2,3.1416,-1.65504e-05
43.3,3.14159,-1.57487e-05
43.4,3.14159,-1.4966e-05
43.5,3.14159,-1.42025e-05
43.6,3.14159,-1.34581e-05
43.7,3.14159,-1.27329e-05
43.8,3.14159,-1.2027e-05
43.9,3.14159,-1.13403e-05
44,3.14159,-1.06729e-05
44.1,3.14158,-1.00246e-05
44.2,3.14158,-9.39539e-06
44.3,3.14158,-8.78515e-06
44.4,3.14158,-8.19376e-06
44.5,3.14158,-7.62108e-06
44.6,3.14158,-7.06694e-06
44.7,3.14158,-6.53118e-06
44.8,3.14158,-6.01358e-06
44.9,3.14158,-5.51395e-06
45,3.14158,-5.03206e-06
45.1,3.14158,-4.56767e-06
45.2,3.14158,-4.12054e-06
45.3,3.14158,-3.6904e-06
45.4,3.14158,-3.27698e-06
45.5,3.14158,-2.88e-06
45.6,3.14158,-2.49918e-06
45.7,3.14158,-2.13422e-06
45.8,3.14157,-1.78481e-06
45.9,3.14157,-1.45066e-06
46,3.14157,-1.13144e-06
46.1,3.14157,-8.26838e-07
46.2,3.14157,-5.36531e-07
46.3,3.14157,-2.60193e-07
46.4,3.14157,2.50452e-09
46.5,3.14157,2.51891e-07
46.6,3.14157,4.88298e-07
46.7,3.14157,7.1206e-07
46.8,3.14157,9.23509e-07
46.9,3.14157,1.12298e-06
47,3.14157,1.3108e-06
47.1,3.14158,1.48731e-06
47.2,3.14158,1.65284e-06
47.3,3.14158,1.80771e-06
47.4,3.14158,1.95225e-06
47.5,3.14158,2.0868e-06
47.6,3.14158,2.21166e-06
47.7,3.14158,2.32716e-06
47.8,3.14158,2.43361e-06
47.9,3.14158,2.53133e-06
48,3.14158,2.62063e-06
48.1,3.14158,2.7018e-06
48.2,3.14158,2.77516e-06
48.3,3.14158,2.84098e-06
48.4,3.14158,2.89957e-06
48.5,3.14158,2.95122e-06
48.6,3.14158,2.99619e-06
48.7,3.14158,3.03477e-06
48.8,3.14158,3.06724e-06
48.9,3.14158,3.09384e-06
49,3.14158,3.11485e-06
49.1,3.14158,3.13052e-06
49.2,3.14158,3.1411e-06
49.3,3.14158,3.14683e-06
49.4,3.14158,3.14795e-06
49.5,3.14158,3.14469e-06
49.6,3.14158,3.13728e-06
49.7,3.14158,3.12593e-06
49.8,3.14158,3.11087e-06
49.9,3.14158,3.0923e-06
50,3.14158,3.07043e-06
50.1,3.14158,3.04545e-06
50.2,3.14158,3.01755e-06
50.3,3.14158,2.98693e-06
50.4,3.14158,2.95375e-06
50.5,3.14158,2.9182e-06
50.6,3.14158,2.88044e-06
50.7,3.14159,2.84064e-06
50.8,3.14159,2.79896e-06
50.9,3.14159,2.75555e-06
51,3.14159,2.71055e-06
51.1,3.14159,2.66411e-06
51.2,3.14159,2.61636e-06
51.3,3.14159,2.56745e-06
51.4,3.14159,2.51748e-06
51.5,3.14159,2.46659e-06
51.6,3.14159,2.41489e-06
51.7,3.14159,2.36249e-06
51.8,3.14159,2.30951e-06
51.9,3.14159,2.25604e-06
52,3.14159,2.20218e-06
52.1,3.14159,2.14802e-06
52.2,3.14159,2.09366e-06
52.3,3.14159,2.03918e-06
52.4,3.14159,1.98465e-06
52.5,3.14159,1.93017e-06
52.6,3.14159,1.87579e-06
52.7,3.14159,1.8216e-06
52.8,3.14159,1.76765e-06
52.9,3.14159,1.714e-06
53,3.14159,1.66072e-06
53.1,3.14159,1.60786e-06
53.2,3.14159,1.55547e-06
53.3,3.14159,1.50359e-06
53.4,3.14159,1.45228e-06
53.5,3.14159,1.40158e-06
53.6,3.14159,1.35152e-06
53.7,3.14159,1.30214e-06
53.8,3.14159,1.25347e-06
53.9,3.14159,1.20555e-06
54,3.14159,1.1584e-06
54.1,3.14159,1.11205e-06
54.2,3.14159,1.06652e-06
54.3,3.14159,1.02183e-06
54.4,3.14159,9.78001e-07
54.5,3.14159,9.35051e-07
54.6,3.14159,8.92993e-07
54.7,3.14159,8.51839e-07
54.8,3.14159,8.11601e-07
54.9,3.14159,7.72286e-07
55,3.14159,7.33903e-07
55.1,3.14159,6.96456e-07
55.2,3.14159,6.59951e-07
55.3,3.14159,6.24388e-07
55.4,3.14159,5.8977e-07
55.5,3.14159,5.56095e-07
55.6,3.14159,5.23363e-07
55.7,3.14159,4.91571e-07
55.8,3.14159,4.60714e-07
55.9,3.14159,4.30787e-07
56,3.14159,4.01785e-07
56.1,3.14159,3.73701e-07
56.2,3.14159,3.46526e-07
56.3,3.14159,3.20252e-07
56.4,3.14159,2.9487e-07
56.5,3.14159,2.70368e-07
56.6,3.14159,2.46736e-07
56.7,3.14159,2.23963e-07
56.8,3.14159,2.02035e-07
56.9,3.14159,1.80942e-07
57,3.14159,1.60668e-07
57.1,3.14159,1.412e-07
57.2,3.14159,1.22525e-07
57.3,3.14159,1.04628e-07
57.4,3.14159,8.74936e-08
57.5,3.14159,7.11071e-08
57.6,3.14159,5.5453e-08
57.7,3.14159,4.05158e-08
57.8,3.14159,2.62797e-08
57.9,3.14159,1.27286e-08
58,3.14159,-1.5353e-10
58.1,3.14159,-1.23829e-08
58.2,3.14159,-2.39757e-08
58.3,3.14159,-3.49484e-08
58.4,3.14159,-4.53173e-08
58.5,3.14159,-5.50987e-08
58.6,3.14159,-6.43089e-08
58.7,3.14159,-7.29643e-08
58.8,3.14159,-8.10811e-08
58.9,3.14159,-8.86754e-08
59,3.14159,-9.57632e-08
59.1,3.14159,-1.02361e-07
59.2,3.14159,-1.08483e-07
59.3,3.14159,-1.14147e-07
59.4,3.14159,-1.19367e-07
59.5,3.14159,-1.24158e-07
59.6,3.14159,-1.28537e-07
59.7,3.14159,-1.32517e-07
59.8,3.14159,-1.36113e-07
59.9,3.14159,-1.39341e-07
60,3.14159,-1.42214e-07
60.1,3.14159,-1.44745e-07
60.2,3.14159,-1.4695e-07
60.3,3.14159,-1.48842e-07
60.4,3.14159,-1.50433e-07
60.5,3.14159,-1.51737e-07
60.6,3.14159,-1.52767e-07
60.7,3.14159,-1.53535e-07
60.8,3.14159,-1.54053e-07
60.9,3.14159,-1.54334e-07
61,3.14159,-1.54388e-07
61.1,3.14159,-1.54228e-07
61.2,3.14159,-1.53864e-07
61.3,3.14159,-1.53307e-07
61.4,3.14159,-1.52568e-07
61.5,3.14159,-1.51657e-07
61.6,3.14159,-1.50584e-07
61.7,3.14159,-1.49358e-07
61.8,3.14159,-1.4799e-07
61.9,3.14159,-1.46487e-07
62,3.14159,-1.4486e-07
62.1,3.14159,-1.43116e-07
62.2,3.14159,-1.41264e-07
62.3,3.14159,-1.39312e-07
62.4,3.14159,-1.37267e-07
62.5,3.14159,-1.35138e-07
62.6,3.14159,-1.32931e-07
62.7,3.14159,-1.30653e-07
62.8,3.14159,-1.28311e-07
62.9,3.14159,-1.25912e-07
63,3.14159,-1.23461e-07
63.1,3.14159,-1.20965e-07
63.2,3.14159,-1.1843e-07
63.3,3.14159,-1.1586e-07
63.4,3.14159,-1.13261e-07
63.5,3.14159,-1.10639e-07
63.6,3.14159,-1.07997e-07
63.7,3.14159,-1.05341e-07
63.8,3.14159,-1.02675e-07
63.9,3.14159,-1.00003e-07
64,3.14159,-9.7329e-08
64.1,3.14159,-9.46568e-08
64.2,3.14159,-9.19901e-08
64.3,3.14159,-8.93321e-08
64.4,3.14159,-8.66862e-08
64.5,3.14159,-8.40552e-08
64.6,3.14159,-8.14421e-08
64.7,3.14159,-7.88496e-08
64.8,3.14159,-7.62802e-08
64.9,3.14159,-7.37361e-08
65,3.14159,-7.12198e-08
