t,alpha,omega
0,0,0
0.1,0.00217528,0.0431269
0.2,0.00855058,0.0840099
0.3,0.0189044,0.122707
0.4,0.0330209,0.159275
0.5,0.0506903,0.193772
0.6,0.0717081,0.226255
0.7,0.0958761,0.256782
0.8,0.123001,0.285411
0.9,0.152897,0.312197
1,0.185381,0.337198
1.1,0.220279,0.360469
1.2,0.257419,0.382067
1.3,0.296638,0.402046
1.4,0.337776,0.420461
1.5,0.38068,0.437366
1.6,0.425201,0.452814
1.7,0.471196,0.466858
1.8,0.518528,0.47955
1.9,0.567063,0.49094
2,0.616674,0.501079
2.1,0.667239,0.510017
2.2,0.718639,0.517802
2.3,0.770762,0.524481
2.4,0.8235,0.530102
2.5,0.876749,0.534711
2.6,0.93041,0.538352
2.7,0.984388,0.541069
2.8,1.03859,0.542906
2.9,1.09294,0.543904
3,1.14735,0.544106
3.1,1.20174,0.543549
3.2,1.25603,0.542275
3.3,1.31017,0.540321
3.4,1.36408,0.537724
3.5,1.41769,0.534521
3.6,1.47096,0.530745
3.7,1.52383,0.526433
3.8,1.57623,0.521616
3.9,1.62813,0.516327
4,1.67948,0.510596
4.1,1.73024,0.504456
4.2,1.78036,0.497933
4.3,1.82981,0.491058
4.4,1.87856,0.483856
4.5,1.92657,0.476355
4.6,1.97382,0.46858
4.7,2.02028,0.460556
4.8,2.06593,0.452306
4.9,2.11074,0.443852
5,2.15469,0.435218
5.1,2.19778,0.426423
5.2,2.23997,0.417488
5.3,2.28127,0.408433
5.4,2.32165,0.399276
5.5,2.36112,0.390034
5.6,2.39966,0.380725
5.7,2.43726,0.371365
5.8,2.47393,0.36197
5.9,2.50966,0.352553
6,2.54444,0.343129
6.1,2.57828,0.333711
6.2,2.61118,0.324313
6.3,2.64315,0.314945
6.4,2.67418,0.305619
6.5,2.70427,0.296347
6.6,2.73345,0.287137
6.7,2.7617,0.277999
6.8,2.78905,0.268942
6.9,2.81549,0.259975
7,2.84105,0.251106
7.1,2.86572,0.242341
7.2,2.88952,0.233687
7.3,2.91246,0.225151
7.4,2.93455,0.216738
7.5,2.95581,0.208453
7.6,2.97625,0.200302
7.7,2.99588,0.192289
7.8,3.01471,0.184418
7.9,3.03277,0.176693
8,3.05005,0.169116
8.1,3.06659,0.161691
8.2,3.0824,0.15442
8.3,3.09748,0.147305
8.4,3.11186,0.140348
8.5,3.12556,0.133551
8.6,3.13858,0.126915
8.7,3.15095,0.120441
8.8,3.16267,0.11413
8.9,3.17378,0.107982
9,3.18428,0.101996
9.1,3.19418,0.0961742
9.2,3.20352,0.090515
9.3,3.21229,0.0850183
9.4,3.22052,0.0796832
9.5,3.22823,0.074509
9.6,3.23543,0.0694946
9.7,3.24214,0.0646388
9.8,3.24836,0.0599402
9.9,3.25413,0.0553974
10,3.25945,0.0510086
10.1,3.26434,0.0467721
10.2,3.26881,0.042686
10.3,3.27288,0.0387482
10.4,3.27656,0.0349568
10.5,3.27988,0.0313094
10.6,3.28283,0.0278038
10.7,3.28544,0.0244376
10.8,3.28772,0.0212083
10.9,3.28969,0.0181135
11,3.29135,0.0151507
11.1,3.29272,0.0123171
11.2,3.29382,0.0096101
11.3,3.29465,0.00702706
11.4,3.29523,0.00456523
11.5,3.29556,0.00222183
11.6,3.29567,-5.90893e-06
11.7,3.29557,-0.00212079
11.8,3.29525,-0.00412563
11.9,3.29475,-0.00602325
12,3.29405,-0.00781648
12.1,3.29319,-0.00950813
12.2,3.29215,-0.011101
12.3,3.29097,-0.012598
12.4,3.28964,-0.0140019
12.5,3.28817,-0.0153154
12.6,3.28658,-0.0165413
12.7,3.28487,-0.0176825
12.8,3.28304,-0.0187415
12.9,3.28112,-0.0197212
13,3.2791,-0.0206242
13.1,3.277,-0.0214531
13.2,3.27481,-0.0222106
13.3,3.27256,-0.0228992
13.4,3.27024,-0.0235215
13.5,3.26786,-0.0240799
13.6,3.26542,-0.0245771
13.7,3.26294,-0.0250153
13.8,3.26042,-0.0253969
13.9,3.25786,-0.0257244
14,3.25528,-0.0259999
14.1,3.25267,-0.0262258
14.2,3.25003,-0.0264043
14.3,3.24739,-0.0265374
14.4,3.24473,-0.0266274
14.5,3.24206,-0.0266763
14.6,3.23939,-0.026686
14.7,3.23673,-0.0266586
14.8,3.23406,-0.0265961
14.9,3.23141,-0.0265001
15,3.22876,-0.0263727
15.1,3.22614,-0.0262155
15.2,3.22352,-0.0260302
15.3,3.22093,-0.0258186
15.4,3.21836,-0.0255823
15.5,3.21581,-0.0253229
15.6,3.2133,-0.0250418
