Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
1,0.5,0.523319,0.815968,3.66826e-06,0.774723,0.619837,139,-0.774713,0.774715,1.23967,121
2,0.5,0.510124,0.227792,7.3032e-06,0.774712,0.619837,153,4.89619e-06,0.774719,0.619837,195
3,0.5,-0.839546,0.411341,-0.774711,-5.57517e-06,0.619837,182,-0.774715,0.774721,1.23967,167
4,0.5,-0.483283,-0.52121,-6.17722e-06,7.28661e-08,1.21522e-09,152,1.59542e-08,3.08378e-06,3.02821e-10,163
5,0.5,-0.788847,0.0845316,-0.774717,-2.0959e-06,0.619837,139,-0.774713,1.20004e-06,0.619837,257
6,0.5,0.141425,0.0558225,6.22642e-06,5.89669e-06,2.34168e-09,153,1.06473e-05,5.36967e-06,4.52795e-09,187
7,0.5,-0.148661,-0.472584,5.22512e-06,-3.92621e-06,1.36022e-09,146,2.29353e-06,-3.66347e-06,5.94859e-10,199
8,0.5,0.789078,-0.514007,0.774719,1.02654e-06,0.619837,136,0.774715,2.79828e-06,0.619837,227
9,0.5,0.60714,-0.503345,-7.53179e-06,-3.70178e-06,2.2427e-09,161,0.774716,2.49418e-06,0.619837,171
10,0.5,-0.861279,0.24806,-0.774716,0.774717,1.23967,158,-0.774718,0.774711,1.23967,215
11,0.5,0.757859,-0.242553,0.77472,-0.774719,1.23967,147,0.774714,1.73246e-06,0.619837,159
12,0.5,-0.35426,-0.462416,3.24503e-06,1.57232e-06,4.14029e-10,159,2.81143e-06,-3.80358e-06,7.12361e-10,219
13,0.5,0.53363,-0.281443,-3.86716e-07,0.774709,0.619837,138,1.24044e-06,0.77472,0.619837,197
14,0.5,-0.0179082,-0.27119,5.59491e-06,0.774709,0.619837,164,-5.10693e-06,1.96694e-06,9.53669e-10,221
15,0.5,0.0194383,-0.932411,-1.41607e-06,-0.774712,0.619837,154,-2.37134e-06,-0.774716,0.619837,179
16,0.5,-0.64253,-0.457243,2.3797e-06,2.25126e-06,3.41706e-10,159,1.57247e-06,2.90072e-06,3.46664e-10,147
17,0.5,0.883557,0.867594,0.774716,0.774714,1.23967,139,0.774715,0.774718,1.23967,245
18,0.5,0.770549,-0.95599,0.774715,-0.774715,1.23967,146,0.774716,-0.774718,1.23967,159
19,0.5,0.278935,-0.712733,0.774708,-0.774715,1.23967,147,0.77471,-0.774713,1.23967,79
20,0.5,-0.477199,0.490088,4.19771e-06,0.77471,0.619837,167,7.54316e-06,-1.32483e-05,7.40075e-09,159
21,0.5,0.371798,0.664226,0.774722,-4.83465e-06,0.619837,175,0.774716,0.774713,1.23967,213
22,0.5,-0.45409,-0.776863,-3.33295e-06,-0.774712,0.619837,139,-1.51311e-06,-0.774717,0.619837,169
23,0.5,-0.808358,-0.665012,-0.774713,0.774716,1.23967,140,-0.774716,0.774713,1.23967,183
24,0.5,-0.29087,0.798781,0.774713,0.774718,1.23967,167,-4.27456e-07,0.774714,0.619837,199
25,0.5,-0.168357,-0.152149,-6.82248e-06,-3.18473e-06,1.80511e-09,160,-2.49434e-07,-2.18578e-06,1.54113e-10,219
26,0.5,0.0468411,-0.410498,-3.36997e-06,-5.60256e-06,1.36112e-09,158,-7.41362e-06,1.71092e-06,1.84333e-09,165
27,0.5,0.605298,0.692581,-2.47378e-06,0.774719,0.619837,152,0.774717,0.774716,1.23967,121
28,0.5,0.127086,0.138928,-4.03024e-06,-2.86142e-06,7.77931e-10,131,7.65546e-07,2.02389e-06,1.49093e-10,199
29,0.5,-0.588862,-0.890822,5.3702e-06,-0.774718,0.619837,152,4.67954e-07,-0.774713,0.619837,155
30,0.5,0.867739,0.430576,0.774721,0.774723,1.23967,138,0.774718,0.774711,1.23967,199
31,0.5,-0.823233,-0.774791,-0.77471,-0.774715,1.23967,123,-0.774723,-0.774715,1.23967,119
32,0.5,0.973334,-0.939676,0.77471,-0.774714,1.23967,159,0.774717,-0.774716,1.23967,185
33,0.5,-0.907198,0.743883,-1.47145e-06,0.774721,0.619837,146,-0.774718,0.774714,1.23967,141
34,0.5,-0.895666,0.371737,-5.58044e-06,0.774722,0.619837,173,-0.774715,0.774728,1.23967,137
35,0.5,-0.968851,-0.372865,-0.774713,-1.38272e-06,0.619837,160,-0.774714,-7.82534e-06,0.619837,223
36,0.5,-0.138175,0.402948,-6.59336e-06,0.774713,0.619837,145,2.76626e-06,0.774709,0.619837,197
37,0.5,-0.70864,0.407735,-0.77471,5.33248e-06,0.619837,167,-0.774717,-3.74162e-06,0.619837,189
38,0.5,0.626085,-0.516998,1.2478e-06,2.79622e-07,5.20686e-11,145,0.774717,-3.19094e-07,0.619837,153
39,0.5,0.742724,-0.664785,0.774721,0.774714,1.23967,134,0.77472,0.774715,1.23967,187
40,0.5,-0.718217,-0.425633,-0.77472,-4.61164e-06,0.619837,150,-0.774717,5.00182e-06,0.619837,221
41,0.5,0.183066,0.328624,0.774711,0.774715,1.23967,168,0.774714,0.774716,1.23967,221
42,0.5,0.163869,-0.211635,5.04459e-06,-0.774715,0.619837,163,6.07008e-06,3.18052e-07,1.17649e-09,233
43,0.5,0.0212055,-0.709044,-4.25008e-06,-0.774718,0.619837,155,-1.21416e-05,-0.774709,0.619837,157
44,0.5,0.927293,0.432344,0.774721,0.77472,1.23967,168,0.77472,0.774713,1.23967,127
45,0.5,-0.599866,0.795032,2.57809e-06,0.774722,0.619837,152,-2.06505e-06,0.774717,0.619837,231
46,0.5,-0.13708,-0.423099,5.07425e-06,-3.46984e-06,1.20326e-09,149,-8.82212e-06,1.21503e-05,7.17921e-09,155
47,0.5,-0.97976,-0.163746,-0.774712,-3.97915e-06,0.619837,160,-0.77472,-4.26301e-06,0.619837,145
48,0.5,-0.362776,-0.886957,2.08273e-06,-0.774713,0.619837,156,7.36994e-07,-0.774717,0.619837,183
49,0.5,-0.419863,-0.258442,-2.26843e-06,0.774716,0.619837,133,-3.30743e-06,3.10877e-08,3.4836e-10,229
50,0.5,0.48478,-0.388714,0.774712,4.03105e-06,0.619837,160,0.774716,5.72526e-06,0.619837,179
51,0.5,0.368693,-0.653395,0.774714,1.86933e-06,0.619837,152,0.774723,1.41274e-06,0.619837,253
52,0.5,-0.985766,0.660054,-0.774722,4.16192e-06,0.619837,138,-0.774715,0.774708,1.23967,243
53,0.5,0.754341,0.640319,0.774711,-1.18947e-06,0.619837,162,0.774719,0.774716,1.23967,205
54,0.5,-0.856944,0.497064,-0.774715,-5.84615e-06,0.619837,147,-0.774715,2.77241e-06,0.619837,175
55,0.5,0.975534,-0.575161,0.774713,3.68637e-06,0.619837,168,0.774722,1.99836e-06,0.619837,173
56,0.5,-0.928569,0.1586,-0.774714,3.4606e-07,0.619837,143,-0.774718,-2.6054e-06,0.619837,95
57,0.5,0.753463,0.2353,0.774719,0.774714,1.23967,144,0.774716,0.774717,1.23967,165
58,0.5,0.946965,-0.225331,0.774709,-0.774709,1.23967,154,0.774713,5.06555e-06,0.619837,163
59,0.5,0.526256,0.874258,-4.39979e-06,0.77471,0.619837,139,-0.774719,0.774715,1.23967,163
60,0.5,-0.792988,0.92639,-0.774723,-1.8217e-06,0.619837,183,-0.774718,-0.774711,1.23967,247
61,0.5,0.66929,0.0699325,-0.77471,1.50645e-06,0.619837,157,0.774717,5.31841e-07,0.619837,231
62,0.5,-0.496709,0.689531,-5.29247e-06,0.774721,0.619837,161,4.02373e-06,0.774717,0.619837,201
63,0.5,0.906186,0.140515,0.774717,-3.20881e-06,0.619837,139,0.774715,-9.11474e-07,0.619837,205
64,0.5,0.802574,-0.513677,0.774711,-4.74207e-06,0.619837,125,0.774717,-3.04114e-06,0.619837,211
65,0.5,0.882073,0.287354,0.774713,0.77472,1.23967,131,0.774718,0.774717,1.23967,201
66,0.5,0.0976098,0.250767,-7.11019e-07,0.774723,0.619837,139,4.29244e-06,0.774716,0.619837,199
67,0.5,0.633959,0.111844,2.27784e-06,-3.14828e-06,4.8083e-10,169,0.774719,1.03667e-06,0.619837,171
68,0.5,-0.0891798,0.3883,-7.42594e-06,0.774713,0.619837,152,-2.55756e-06,0.774713,0.619837,153
69,0.5,-0.247838,0.0538758,-0.774708,-2.9844e-06,0.619837,162,1.78612e-06,2.56691e-08,1.01605e-10,157
70,0.5,-0.114636,-0.272304,3.63257e-06,0.774708,0.619837,171,-2.34969e-06,0.774714,0.619837,197
71,0.5,0.478715,-0.0432045,0.77472,-6.82522e-06,0.619837,145,0.774715,2.57246e-07,0.619837,175
72,0.5,0.886296,0.232178,0.774709,0.77472,1.23967,153,0.774713,0.774716,1.23967,191
73,0.5,-0.807904,0.833261,-0.774716,0.774713,1.23967,117,-0.774714,0.774711,1.23967,119
74,0.5,-0.993153,0.718352,-0.774708,0.774718,1.23967,137,-0.774716,0.774716,1.23967,183
75,0.5,0.70752,-0.786141,0.77472,-0.774712,1.23967,137,0.774724,-0.774714,1.23967,127
76,0.5,0.644742,0.37681,-3.20298e-06,0.774714,0.619837,160,0.774718,0.774714,1.23967,159
77,0.5,0.283792,-0.851968,0.774713,-0.774712,1.23967,160,0.774715,-0.774718,1.23967,197
78,0.5,0.066341,0.189978,-4.1709e-06,0.77471,0.619837,169,-3.59718e-06,0.774715,0.619837,205
79,0.5,0.288547,-0.131085,0.774723,3.03372e-06,0.619837,145,0.774711,2.14142e-06,0.619837,197
80,0.5,0.676302,0.170621,-0.774718,-3.15291e-06,0.619837,172,0.77472,3.28531e-07,0.619837,169
81,0.5,-0.843731,-0.226089,-0.774716,-0.774718,1.23967,161,-0.774717,2.45942e-07,0.619837,223
82,0.5,-0.578613,0.790228,5.18012e-07,0.77471,0.619837,124,-2.75085e-06,0.774715,0.619837,195
83,0.5,0.885755,0.332207,0.774717,0.774712,1.23967,169,0.774713,0.774712,1.23967,205
84,0.5,0.178528,-0.362082,-5.99872e-08,-6.64376e-06,1.40563e-09,160,9.30259e-06,6.39034e-06,4.05593e-09,139
85,0.5,-0.613917,-0.936108,5.36646e-06,-0.774716,0.619837,173,1.4447e-06,-0.774714,0.619837,147
86,0.5,0.365614,0.864798,0.774717,0.77471,1.23967,153,0.774717,0.774708,1.23967,169
87,0.5,0.0206877,0.25191,-3.25263e-06,0.774722,0.619837,159,3.34465e-06,0.77472,0.619837,161
88,0.5,0.0969759,0.212784,6.33071e-06,0.774719,0.619837,152,-4.78329e-07,0.774719,0.619837,165
89,0.5,0.0851714,0.103823,-3.15202e-06,1.90414e-06,4.31815e-10,160,-1.48834e-06,6.26867e-06,1.32183e-09,203
90,0.5,-0.0688645,-0.207309,-1.61541e-06,-0.774722,0.619837,138,-4.59904e-06,1.48748e-06,7.43962e-10,207
91,0.5,0.317682,-0.424123,0.774713,-4.81933e-06,0.619837,145,0.774712,1.03535e-06,0.619837,149
92,0.5,-0.830498,-0.398526,-0.774712,2.6797e-06,0.619837,138,-0.774721,-2.4852e-06,0.619837,117
93,0.5,-0.276091,0.235843,0.774721,0.774722,1.23967,133,3.38507e-06,0.774717,0.619837,217
94,0.5,0.791452,-0.987543,0.774713,-0.774714,1.23967,146,0.774718,-0.77471,1.23967,179
95,0.5,-0.895243,0.467753,-0.774713,0.774715,1.23967,166,-0.774715,0.774719,1.23967,221
96,0.5,0.183077,-0.738974,0.774722,-0.77471,1.23967,159,0.774716,-0.774717,1.23967,227
97,0.5,-0.758335,0.604465,-0.774723,2.86177e-06,0.619837,139,-0.774721,0.774719,1.23967,149
