Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Zewnetrzna,4,1,3.78035,-3.59279,3.11764,2.50604,-0.189199,1355,3.99999
Zewnetrzna,4,2,3.52998,-0.602332,3.35147,2.18341,-0.189195,1190,3.99995
Zewnetrzna,4,3,-2.52128,-0.581524,3.2357,2.35166,-0.189201,1235,4
Zewnetrzna,4,4,-0.132068,2.06635,2.84366,2.81256,-0.189156,815,3.99961
Zewnetrzna,4,5,0.513747,3.41638,1.89092,3.52482,-0.189199,1295,3.99999
Zewnetrzna,4,6,-3.11581,2.68589,3.11162,2.5135,-0.189199,1275,3.99998
Zewnetrzna,4,7,-1.31905,-0.333925,3.38105,2.13723,-0.189189,1115,3.9999
Zewnetrzna,4,8,-0.79568,0.537769,2.82636,2.83051,-0.189202,990,4.00001
Zewnetrzna,4,9,-1.1249,3.2006,2.86503,2.79136,-0.189202,925,4.00001
Zewnetrzna,4,10,0.90552,0.790541,2.7477,2.90692,-0.189202,1020,4.00001
Zewnetrzna,4,11,2.92252,-2.27212,3.31043,2.24518,-0.189198,1285,3.99997
Zewnetrzna,4,12,1.03894,-2.13261,2.44731,3.16396,-0.189201,1145,4
Zewnetrzna,4,13,-1.79292,-1.92428,2.84561,2.81059,-0.189156,820,3.99961
Zewnetrzna,4,14,2.39688,-3.08967,2.02106,3.45185,-0.1892,1310,3.99999
Zewnetrzna,4,15,-0.0482652,3.19185,2.73487,2.919,-0.189201,875,4.00001
Zewnetrzna,4,16,-3.6037,-0.267914,2.75882,2.89637,-0.189202,915,4.00001
Zewnetrzna,4,17,3.59906,3.92629,2.82723,2.82909,-0.189156,770,3.99962
Zewnetrzna,4,18,3.12975,-2.92221,2.29606,3.27537,-0.1892,1255,4
Zewnetrzna,4,19,-0.655239,-1.00231,2.8703,2.78594,-0.189202,865,4.00001
Zewnetrzna,4,20,3.14414,3.85851,2.82566,2.83109,-0.189192,875,3.99993
Zewnetrzna,4,21,-1.58593,-3.97167,2.07016,3.42275,-0.189211,1000,4.00009
Zewnetrzna,4,22,2.5444,1.09502,3.0443,2.59468,-0.189202,1080,4.00001
Zewnetrzna,4,23,-0.305597,-2.25128,2.74616,2.90849,-0.189211,910,4.00009
Zewnetrzna,4,24,-2.36721,2.5695,1.37798,3.75506,-0.189191,1110,3.99991
Zewnetrzna,4,25,-3.05068,2.53831,3.55598,1.83167,-0.189201,1165,4
Zewnetrzna,4,26,-0.639954,3.87185,2.29299,3.27753,-0.189201,1165,4
Zewnetrzna,4,27,-3.73381,-3.60102,2.82565,2.83066,-0.189156,820,3.99962
Zewnetrzna,4,28,-2.26076,-1.52673,2.79135,2.86504,-0.189202,945,4.00001
Zewnetrzna,4,29,-1.52529,-3.86388,1.51951,3.70014,-0.1892,1150,3.99999
Zewnetrzna,4,30,-0.616399,2.42644,3.01812,2.62506,-0.1892,1315,4
Zewnetrzna,4,31,3.32798,-0.220097,2.76185,2.89349,-0.189202,945,4.00001
Zewnetrzna,4,32,-1.84147,2.92704,2.8471,2.80965,-0.189202,955,4.00001
